Timestamp,Value
Jun 2015,27.8
Jul 2015,127
Aug 2015,43.4
Sep 2015,45.2
Oct 2015,62.4
Nov 2015,119.2
Dec 2015,140.6
Jan 2016,176
Feb 2016,76.2
Mar 2016,40.2
Apr 2016,109.8
May 2016,11.6
Jun 2016,67.2
Jul 2016,70.2
Aug 2016,54.6
Sep 2016,40.2
Oct 2016,76.2
Nov 2016,142.6
Dec 2016,32.8
Jan 2017,30.2
Feb 2017,96
Mar 2017,57.4
Apr 2017,17.6
May 2017,28.6
Jun 2017,182.2
Jul 2017,74.6
Aug 2017,43.4
Sep 2017,54
Oct 2017,42.4
Nov 2017,47.8
Dec 2017,48
Jan 2018,54.6
Feb 2018,35.2
Mar 2018,118
Apr 2018,84.8
May 2018,20
Jun 2018,37
Jul 2018,55.6
Aug 2018,36
Sep 2018,65.8
Oct 2018,51.2
Nov 2018,80.6
Dec 2018,49.4
Jan 2019,18.4
Feb 2019,27.6
Mar 2019,84.2
Apr 2019,52.4
May 2019,99.4
Jun 2019,157.8
Jul 2019,92.4
Aug 2019,128.2
Sep 2019,63.2
Oct 2019,92
Nov 2019,209
Dec 2019,57.6
Jan 2020,51.2
Feb 2020,140.8
Mar 2020,41.6
Apr 2020,6
May 2020,51.6
Jun 2020,85
Jul 2020,74
Aug 2020,152.8
Sep 2020,28.2
Oct 2020,143.2
Nov 2020,49.2
Dec 2020,191.6
Jan 2021,166.2
Feb 2021,122.8
Mar 2021,31
Apr 2021,22.2
May 2021,184
Jun 2021,52.8
Jul 2021,56.2
Aug 2021,96.2
Sep 2021,60
Oct 2021,169
Nov 2021,75
Dec 2021,102.8
Jan 2022,7
Feb 2022,95.8
Mar 2022,48.2
Apr 2022,49.8
May 2022,68.6
Jun 2022,39.2
Jul 2022,59
Aug 2022,19.8
Sep 2022,138
Oct 2022,93.6
Nov 2022,147
Dec 2022,89.6
Jan 2023,29.6
Feb 2023,40
Mar 2023,94.4
Apr 2023,35.2
May 2023,36.4
Jun 2023,35.2
Jul 2023,137.2
Aug 2023,104
Sep 2023,58.2
Oct 2023,211.2
Nov 2023,126
Dec 2023,155.4
Jan 2024,72.2
Feb 2024,51.2
Mar 2024,80
Apr 2024,113.6
May 2024,128.6
Jun 2024,33
Jul 2024,90.4
Aug 2024,52.2
Sep 2024,62
Oct 2024,107.6
Nov 2024,19.2
Dec 2024,101.2
Jan 2025,70
Feb 2025,35.2
Mar 2025,15
Apr 2025,19
May 2025,9.4
