Timestamp,Value
Jun 2015,68.4
Jul 2015,81.8
Aug 2015,91.6
Sep 2015,64.6
Oct 2015,40.2
Nov 2015,59.8
Dec 2015,94.2
Jan 2016,128
Feb 2016,68.6
Mar 2016,41
Apr 2016,82.4
May 2016,41
Jun 2016,85.6
Jul 2016,73.4
Aug 2016,76.8
Sep 2016,46.2
Oct 2016,83.6
Nov 2016,183
Dec 2016,65
Jan 2017,70.2
Feb 2017,30.4
Mar 2017,41.8
Apr 2017,50.4
May 2017,38.6
Jun 2017,156.4
Jul 2017,73.4
Aug 2017,81.6
Sep 2017,151
Oct 2017,65.2
Nov 2017,127
Dec 2017,45.8
Jan 2018,36.2
Feb 2018,43.6
Mar 2018,58.2
Apr 2018,38
May 2018,26.6
Jun 2018,27.8
Jul 2018,34
Aug 2018,34.6
Sep 2018,76.8
Oct 2018,75.4
Nov 2018,44.8
Dec 2018,35.2
Jan 2019,86.8
Feb 2019,46.8
Mar 2019,87.6
Apr 2019,72
May 2019,155.6
Jun 2019,91.8
Jul 2019,72.6
Aug 2019,116.4
Sep 2019,87.8
Oct 2019,70.8
Nov 2019,115.4
Dec 2019,55.4
Jan 2020,43.2
Feb 2020,93
Mar 2020,29.8
Apr 2020,19.6
May 2020,54
Jun 2020,84.4
Jul 2020,52.6
Aug 2020,36.4
Sep 2020,57.4
Oct 2020,186.4
Nov 2020,26.8
Dec 2020,129.6
Jan 2021,118.2
Feb 2021,33.8
Mar 2021,53.8
Apr 2021,40.4
May 2021,120
Jun 2021,16.8
Jul 2021,78.2
Aug 2021,56.4
Sep 2021,84.4
Oct 2021,103
Nov 2021,114
Dec 2021,77
Jan 2022,39.2
Feb 2022,88.8
Mar 2022,29.8
Apr 2022,92.6
May 2022,89.6
Jun 2022,26.8
Jul 2022,69.8
Aug 2022,45.2
Sep 2022,128.4
Oct 2022,73.2
Nov 2022,85.2
Dec 2022,82.4
Jan 2023,75.2
Feb 2023,42.2
Mar 2023,83
Apr 2023,46.2
May 2023,55.8
Jun 2023,37
Jul 2023,67.6
Aug 2023,43.6
Sep 2023,112.4
Oct 2023,164
Nov 2023,109.4
Dec 2023,139.2
Jan 2024,75.6
Feb 2024,79
Mar 2024,60.4
Apr 2024,97.4
May 2024,75.2
Jun 2024,96.6
Jul 2024,89
Aug 2024,54.8
Sep 2024,124
Oct 2024,85.8
Nov 2024,32.6
Dec 2024,161.6
Jan 2025,74.8
Feb 2025,15.4
Mar 2025,34.4
Apr 2025,13.4
May 2025,13
