Timestamp,Value
Sep 2015,34.2
Oct 2015,50.8
Nov 2015,47.4
Dec 2015,81.2
Jan 2016,185.6
Feb 2016,33.8
Mar 2016,55.6
Apr 2016,83.4
May 2016,4.2
Jun 2016,25.2
Jul 2016,67.8
Aug 2016,10.4
Sep 2016,16.4
Oct 2016,118.4
Nov 2016,90
Dec 2016,31.4
Jan 2017,40.2
Feb 2017,46
Mar 2017,39.2
Apr 2017,41.4
May 2017,18
Jun 2017,105.2
Jul 2017,69.8
Aug 2017,57.6
Sep 2017,94.8
Oct 2017,50.6
Nov 2017,122.8
Dec 2017,37.2
Jan 2018,28.6
Feb 2018,30.2
Mar 2018,62.2
Apr 2018,24.8
May 2018,25.4
Jun 2018,28.6
Jul 2018,46.6
Aug 2018,41.2
Sep 2018,47.4
Oct 2018,80.2
Nov 2018,94.4
Dec 2018,55
Jan 2019,46.6
Feb 2019,26.6
Mar 2019,47
Apr 2019,53.8
May 2019,126.4
Jun 2019,79.6
Jul 2019,73.6
Aug 2019,70
Sep 2019,84.4
Oct 2019,71
Nov 2019,141.2
Dec 2019,42.8
Jan 2020,20.2
Feb 2020,62
Mar 2020,17.6
Apr 2020,15.8
May 2020,46.4
Jun 2020,63.6
Jul 2020,65.2
Aug 2020,50
Sep 2020,27.8
Oct 2020,177.8
Nov 2020,27.4
Dec 2020,109.4
Jan 2021,86.4
Feb 2021,84.2
Mar 2021,37
Apr 2021,23.4
May 2021,127.8
Jun 2021,17.4
Jul 2021,53.2
Aug 2021,70
Sep 2021,72.4
Oct 2021,124.4
Nov 2021,12.8
Dec 2021,19.8
Jan 2022,25.4
Feb 2022,49.4
Mar 2022,37
Apr 2022,65.6
May 2022,41
Jun 2022,24.4
Jul 2022,44.2
Aug 2022,48.6
Sep 2022,129.8
Oct 2022,71.8
Nov 2022,167.2
Dec 2022,97.4
Jan 2023,61.4
Feb 2023,26.6
Mar 2023,68.8
Apr 2023,63
May 2023,40.6
Jun 2023,35.2
Jul 2023,97.2
Aug 2023,69.2
Sep 2023,66.6
Oct 2023,261
Nov 2023,72.6
Dec 2023,156.8
Jan 2024,64.4
Feb 2024,66
Mar 2024,85.6
Apr 2024,82.8
May 2024,69.6
Jun 2024,40.6
Jul 2024,103.4
Aug 2024,33.2
Sep 2024,48.4
Oct 2024,65.2
Nov 2024,9
Dec 2024,113.8
Jan 2025,54.4
Feb 2025,37.2
Mar 2025,32.8
Apr 2025,9.8
May 2025,36.4
Jun 2025,61.2
Jul 2025,56.2
Aug 2025,23.6
