Timestamp,Value
Jun 2015,93.4
Jul 2015,125.8
Aug 2015,115.2
Sep 2015,52
Oct 2015,83.4
Nov 2015,313.4
Dec 2015,263.4
Jan 2016,253
Feb 2016,230
Mar 2016,110.6
Apr 2016,120
May 2016,90.8
Jun 2016,54.2
Jul 2016,146.4
Aug 2016,122.8
Sep 2016,127
Oct 2016,61.2
Nov 2016,132
Dec 2016,186
Jan 2017,151.4
Feb 2017,154.2
Mar 2017,150.6
Apr 2017,164.6
May 2017,55.4
Jun 2017,140
Jul 2017,107
Aug 2017,118.8
Sep 2017,99.8
Oct 2017,212.6
Nov 2017,320.2
Dec 2017,207.6
Jan 2018,224.2
Feb 2018,92
Mar 2018,86.2
Apr 2018,82.2
May 2018,37.6
Jun 2018,63.6
Jul 2018,25.8
Aug 2018,86.2
Sep 2018,268.8
Oct 2018,273.6
Nov 2018,74
Dec 2018,123
Jan 2019,217.2
Feb 2019,102.8
Mar 2019,248.6
Apr 2019,65.8
May 2019,101.2
Jun 2019,73.2
Jul 2019,135.4
Aug 2019,164.8
Sep 2019,156.4
Oct 2019,193.4
Nov 2019,100.6
Dec 2019,202.8
Jan 2020,275.4
Feb 2020,367.2
Mar 2020,163.8
Apr 2020,56.8
May 2020,156.6
Jun 2020,115.2
Jul 2020,83.2
Aug 2020,25
Sep 2020,107.2
Oct 2020,209.6
Nov 2020,140.4
Dec 2020,169
Jan 2021,120.2
Feb 2021,67.8
Mar 2021,175.2
Apr 2021,74
May 2021,119.8
Jun 2021,30.8
Jul 2021,62
Aug 2021,42.8
Sep 2021,126.2
Oct 2021,267.2
Nov 2021,118.4

Jan 2022,117.8
Feb 2022,182
Mar 2022,26.2
Apr 2022,149
May 2022,138
Jun 2022,79
Jul 2022,140.8
Aug 2022,70.2
Sep 2022,129.6
Oct 2022,152.6
Nov 2022,119.4
Dec 2022,162.2
Jan 2023,191.4
Feb 2023,226.6
Mar 2023,71.8
Apr 2023,62.6
May 2023,29.4
Jun 2023,61
Jul 2023,109.4
Aug 2023,122
Sep 2023,119.6
Oct 2023,207.6
Nov 2023,158
Dec 2023,287
Jan 2024,203.8
Feb 2024,173.2
Mar 2024,113
Apr 2024,116.6
May 2024,70
Jun 2024,101.4
Jul 2024,67
Aug 2024,125.6
Sep 2024,117.6
Oct 2024,155.6
Nov 2024,58.6
Dec 2024,396.6
Jan 2025,110.2
Mar 2025,68.8
Apr 2025,29.6
May 2025,22.4
