Timestamp,Value
Sep 2015,26.6
Oct 2015,92.6
Nov 2015,207
Dec 2015,159.6
Jan 2016,161
Feb 2016,125.8
Mar 2016,61.8
Apr 2016,92.8
May 2016,83
Jun 2016,43.6
Jul 2016,93.6
Aug 2016,88.6
Sep 2016,102.4
Oct 2016,42.6
Nov 2016,98
Dec 2016,74.6
Jan 2017,109.2
Feb 2017,151
Mar 2017,108.6
Apr 2017,23.8
May 2017,61.2
Jun 2017,125.2
Jul 2017,84.8
Aug 2017,114.4
Sep 2017,119.2
Oct 2017,124.4
Nov 2017,105.8
Dec 2017,72.2
Jan 2018,173.6
Feb 2018,33.4
Mar 2018,72.4
Apr 2018,83
May 2018,26.4
Jun 2018,39
Jul 2018,91
Aug 2018,107.2
Sep 2018,63
Oct 2018,65.8
Nov 2018,122.4
Dec 2018,112.2
Jan 2019,54
Feb 2019,64
Mar 2019,121.4
Apr 2019,58.6
May 2019,56.6
Jun 2019,84.6
Jul 2019,124.6
Aug 2019,155.6
Sep 2019,100.4
Oct 2019,126.8
Nov 2019,76
Dec 2019,132.8
Jan 2020,81.2
Feb 2020,184.8
Mar 2020,68.4
Apr 2020,17.8
May 2020,52.2
Jun 2020,143
Jul 2020,129.6
Aug 2020,134.2
Sep 2020,103.4
Oct 2020,154
Nov 2020,101.2
Dec 2020,124
Jan 2021,109.8
Feb 2021,110.2
Mar 2021,15.4
Apr 2021,8.8
May 2021,63.6
Jun 2021,46.4
Jul 2021,35
Aug 2021,66.2
Sep 2021,77.2
Oct 2021,165.4
Nov 2021,71.2
Dec 2021,101.4
Jan 2022,64.2
Feb 2022,147
Mar 2022,31.2
Apr 2022,64.8
May 2022,83.6
Jun 2022,71.8
Jul 2022,44.8
Aug 2022,66.6
Sep 2022,119.6
Oct 2022,161.4
Nov 2022,102
Dec 2022,96
Jan 2023,117.2
Feb 2023,28.4
Mar 2023,105.4
Apr 2023,60
May 2023,48
Jun 2023,84.8
Jul 2023,117.2
Aug 2023,70.6
Sep 2023,92.4
Oct 2023,79.4
Nov 2023,90
Dec 2023,162.6
Jan 2024,59.2
Feb 2024,98.6
Mar 2024,80.8
Apr 2024,102
May 2024,83
Jun 2024,12.8
Jul 2024,45
Aug 2024,198
Sep 2024,41.2
Oct 2024,82.8
Nov 2024,48.6
Dec 2024,116.6
Jan 2025,39.6
Feb 2025,65.8
Mar 2025,41.4
Apr 2025,49.2
May 2025,95.2
Jun 2025,91.8
Jul 2025,81.4
Aug 2025,76.8
