Timestamp,Value
Jun 2015,60.4
Jul 2015,68.4
Aug 2015,63.8
Sep 2015,53.8
Oct 2015,55.4
Nov 2015,94.8
Dec 2015,209.2
Jan 2016,128.2
Feb 2016,74.6
Mar 2016,48
Apr 2016,69.4
May 2016,34.5
Jun 2016,91.8
Jul 2016,62.1
Aug 2016,54
Sep 2016,54.7
Oct 2016,44.9
Nov 2016,92.4
Dec 2016,84.1
Jan 2017,55.4
Feb 2017,43.4
Mar 2017,47
Apr 2017,41.2
May 2017,37.1
Jun 2017,107.7
Jul 2017,58
Aug 2017,78.8
Sep 2017,108.4
Oct 2017,56.9
Nov 2017,84.8
Dec 2017,63.4
Jan 2018,55.3
Feb 2018,48.6
Mar 2018,22.2
Apr 2018,30.6
May 2018,33
Jun 2018,29.6
Jul 2018,53.1
Aug 2018,31.9
Sep 2018,96.6
Oct 2018,85.6
Nov 2018,55.3
Dec 2018,57.6
Jan 2019,57.2
Feb 2019,35.4
Mar 2019,96.3
Apr 2019,53.6
May 2019,129.4
Jun 2019,68.7
Jul 2019,65.9
Aug 2019,125.1
Sep 2019,52.2
Oct 2019,79.6
Nov 2019,80.3
Dec 2019,106.4
Jan 2020,93
Feb 2020,149.6
Mar 2020,41.8
Apr 2020,14.3
May 2020,60.5
Jun 2020,95.7
Jul 2020,99
Aug 2020,53.5
Sep 2020,52.6
Oct 2020,157.9
Nov 2020,51.3
Dec 2020,163.2
Jan 2021,76.2
Feb 2021,45.2
Mar 2021,63.1
Apr 2021,44.3
May 2021,126.2
Jun 2021,29
Jul 2021,150.3
Aug 2021,55.9
Sep 2021,55.6
Oct 2021,107
Nov 2021,62.4
Dec 2021,72.1
Jan 2022,47.6
Feb 2022,126.4
Mar 2022,54.9
Apr 2022,81.3
May 2022,54.4
Jun 2022,24.1
Jul 2022,63.6
Aug 2022,57.7
Sep 2022,106.8
Oct 2022,79.8
Nov 2022,63.5
Dec 2022,75.5
Jan 2023,70.4
Feb 2023,46.3
Mar 2023,96
Apr 2023,39.1
May 2023,40.2
Jun 2023,20.1
Jul 2023,83.4
Aug 2023,64.5
Sep 2023,108.7
Oct 2023,161.6
Nov 2023,63.4
Dec 2023,94.8
Jan 2024,91.1
Feb 2024,61
Mar 2024,57.4
Apr 2024,80
May 2024,69.6
Jun 2024,78.5
Jul 2024,88.9
Aug 2024,52.7
Sep 2024,91.2
Oct 2024,77.1
Nov 2024,43.1
Dec 2024,155.7
Jan 2025,74.3
Feb 2025,42.3
Mar 2025,73
Apr 2025,71.9
May 2025,65.6
