Timestamp,Value
Sep 2015,44.6
Oct 2015,88.4
Nov 2015,299.4
Dec 2015,337.4
Jan 2016,213
Feb 2016,169.4
Mar 2016,60.4
Apr 2016,75.8
May 2016,93.2
Jun 2016,73.2
Jul 2016,137.6
Aug 2016,100.6
Sep 2016,185.8
Oct 2016,54.2
Nov 2016,92.8
Dec 2016,156
Jan 2017,76.4
Feb 2017,182
Mar 2017,160.8
Apr 2017,23.2
May 2017,73.4
Jun 2017,5.2
Jul 2017,87.2
Aug 2017,146
Sep 2017,13.4
Oct 2017,84.4
Nov 2017,98.4
Dec 2017,136.6
Jan 2018,205.8
Feb 2018,71
Mar 2018,106.6
Apr 2018,105.2
May 2018,35.8
Jun 2018,68.2
Jul 2018,55.2
Aug 2018,100.6
Sep 2018,164.2
Oct 2018,145.6
Nov 2018,183
Dec 2018,134
Jan 2019,60.8
Feb 2019,91.8
Mar 2019,175.6
Apr 2019,34
May 2019,91.8
Jun 2019,64.6
Jul 2019,111.4
Aug 2019,183.4
Sep 2019,129.6
Oct 2019,169.4
Nov 2019,59.2
Dec 2019,214
Jan 2020,193.8
Feb 2020,324.2
Mar 2020,128.6
Apr 2020,27.4
May 2020,70.2
Jun 2020,109
Jul 2020,161
Aug 2020,148
Sep 2020,124.4
Oct 2020,209
Nov 2020,169.6
Dec 2020,147.6
Jan 2021,113.6
Feb 2021,161.8
Mar 2021,128.2
Apr 2021,26.6
May 2021,88.8
Jun 2021,56.4
Jul 2021,45.8
Aug 2021,64.8
Sep 2021,102.8
Oct 2021,235
Nov 2021,23.6
Dec 2021,94.4
Jan 2022,97.8
Feb 2022,267.8
Mar 2022,47.4
Apr 2022,51.8
May 2022,91.2
Jun 2022,86.2
Jul 2022,57.8
Aug 2022,99.8
Sep 2022,130.6
Oct 2022,235
Nov 2022,166
Dec 2022,143.2
Jan 2023,214.8
Feb 2023,83.2
Mar 2023,162
Apr 2023,57.2
May 2023,38
Jun 2023,78
Jul 2023,133.2
Aug 2023,95.6
Sep 2023,164.4
Oct 2023,220.4
Nov 2023,101.2
Dec 2023,239.8
Jan 2024,146.6
Feb 2024,142.8
Mar 2024,143.8
Apr 2024,165.8
May 2024,107.2
Jun 2024,50.4
Jul 2024,62
Aug 2024,226.4
Sep 2024,57.2
Oct 2024,104.6
Nov 2024,44.4
Dec 2024,210.4
Jan 2025,72.4
Feb 2025,106.4
Mar 2025,77.2
Apr 2025,65.4
May 2025,107.4
Jun 2025,95.6
Jul 2025,70
Aug 2025,80
