Timestamp,Value
Jun 2015,124.2
Jul 2015,220.2
Aug 2015,153.8
Sep 2015,55.6
Oct 2015,149.4
Nov 2015,282
Dec 2015,567.6
Jan 2016,392.6
Feb 2016,182.2
Mar 2016,139.6
Apr 2016,125.8
May 2016,116.6
Jun 2016,93.2
Jul 2016,111.4
Aug 2016,96.8
Sep 2016,234.6
Oct 2016,80.8
Nov 2016,81.4
Dec 2016,147.6
Jan 2017,66.2
Feb 2017,198.2
Mar 2017,148.4
Apr 2017,18
May 2017,69.2
Jun 2017,194.6
Jul 2017,130.2
Aug 2017,169.4
Sep 2017,146.6
Oct 2017,169.4
Nov 2017,92
Dec 2017,119.6
Jan 2018,236.6
Feb 2018,82
Mar 2018,139.2
Apr 2018,116.2
May 2018,63.8
Jun 2018,97.2
Jul 2018,69.6
Aug 2018,104.4
Sep 2018,139.2
Oct 2018,139.8
Nov 2018,322.4
Dec 2018,128.6
Jan 2019,46
Feb 2019,150.8
Mar 2019,190.6
Apr 2019,62
May 2019,92
Jun 2019,107.4
Jul 2019,110.6
Aug 2019,244
Sep 2019,131
Oct 2019,176.6
Nov 2019,126.2
Dec 2019,253.2
Jan 2020,246.8
Feb 2020,333.8
Mar 2020,141.6
Apr 2020,45
May 2020,51.8
Jun 2020,153.6
Jul 2020,153
Aug 2020,161
Sep 2020,137.2
Oct 2020,309.8
Nov 2020,193
Dec 2020,244.8
Jan 2021,86.2
Feb 2021,224
Mar 2021,192.4
Apr 2021,17.4
May 2021,137.6
Jun 2021,44.8
Jul 2021,61.8
Aug 2021,96.6
Sep 2021,110
Oct 2021,254.6
Nov 2021,79.2
Dec 2021,145
Jan 2022,96.6
Feb 2022,230.8
Mar 2022,87.4
Apr 2022,50.2
May 2022,151.6
Jun 2022,119
Jul 2022,74.6
Aug 2022,96.6
Sep 2022,171.2
Oct 2022,278
Nov 2022,296
Dec 2022,192.6
Jan 2023,210.8
Feb 2023,59.2
Mar 2023,193.4
Apr 2023,90
May 2023,45.4
Jun 2023,80
Jul 2023,268.6
Aug 2023,134.4
Sep 2023,191.2
Oct 2023,287
Nov 2023,136.4
Dec 2023,262.8
Jan 2024,219
Feb 2024,118.4
Mar 2024,161.2
Apr 2024,172.4
May 2024,129.4
Jun 2024,71.6
Jul 2024,61.6
Aug 2024,252.6
Sep 2024,51.4
Oct 2024,121.6
Nov 2024,95
Dec 2024,226.4
Jan 2025,96.4
Feb 2025,170.8
Mar 2025,80.6
Apr 2025,55.2
May 2025,0.2
