Timestamp,Value
Jun 2015,42
Jul 2015,65.8
Aug 2015,67.2
Sep 2015,51.2
Oct 2015,61.8
Nov 2015,62.2
Dec 2015,67.2
Jan 2016,177.2
Feb 2016,66
Mar 2016,51.8
Apr 2016,92.2
May 2016,28.2
Jun 2016,97.6
Jul 2016,87.2
Aug 2016,53.2
Sep 2016,31
Oct 2016,67.4
Nov 2016,79.8
Dec 2016,48.6
Jan 2017,52.2
Feb 2017,35.4
Mar 2017,41
Apr 2017,56
May 2017,26.2
Jun 2017,136
Jul 2017,83.4
Aug 2017,105.8
Sep 2017,141.6
Oct 2017,81.4
Nov 2017,132.6
Dec 2017,68.2
Jan 2018,34
Feb 2018,26.4
Mar 2018,93.8
Apr 2018,44.4
May 2018,14.8
Jun 2018,26
Jul 2018,36.2
Aug 2018,32.8
Sep 2018,81.4
Oct 2018,96
Nov 2018,54
Dec 2018,46.4
Jan 2019,65.2
Feb 2019,15.4
Mar 2019,73.6
Apr 2019,64
May 2019,139
Jun 2019,83.6
Jul 2019,57.6
Aug 2019,98.4
Sep 2019,89.4
Oct 2019,90.8
Nov 2019,129
Dec 2019,43
Jan 2020,25.8
Feb 2020,68.8
Mar 2020,24.6
Apr 2020,18.4
May 2020,35.6
Jun 2020,86.8
Jul 2020,113.6
Aug 2020,49
Sep 2020,49
Oct 2020,195.2
Nov 2020,32
Dec 2020,138.8
Jan 2021,103.8
Feb 2021,30.6
Mar 2021,39.6
Apr 2021,50.2
May 2021,116.6
Jun 2021,19.2
Jul 2021,89.4
Aug 2021,52
Sep 2021,63.6
Oct 2021,127.4
Nov 2021,120.8
Dec 2021,62
Jan 2022,39.8
Feb 2022,64.8
Mar 2022,37.8
Apr 2022,95.2
May 2022,74.2
Jun 2022,24.4
Jul 2022,72.2
Aug 2022,45
Sep 2022,145
Oct 2022,63.4
Nov 2022,85.2
Dec 2022,103.8
Jan 2023,64
Feb 2023,38.8
Mar 2023,81
Apr 2023,61.8
May 2023,36.8
Jun 2023,50
Jul 2023,89.4
Aug 2023,46.2
Sep 2023,70.2
Oct 2023,192.6
Nov 2023,103.4
Dec 2023,127.2
Jan 2024,76.8
Feb 2024,65.6
Mar 2024,91.6
Apr 2024,110
May 2024,42.2
Jun 2024,66.4
Jul 2024,93.4
Aug 2024,41.4
Sep 2024,82.4
Oct 2024,76.6
Nov 2024,46.2
Dec 2024,136.6
Jan 2025,63
Feb 2025,14.2
Mar 2025,35.4
Apr 2025,8.4
May 2025,3.4
