Timestamp,Value
Sep 2015,28
Oct 2015,37.6
Nov 2015,267.6
Dec 2015,294.2
Jan 2016,188.2
Feb 2016,192.8
Mar 2016,68.8
Apr 2016,98.8
May 2016,63.6
Jun 2016,44.4
Jul 2016,116.6
Aug 2016,87.2
Sep 2016,114.4
Oct 2016,38.4
Nov 2016,95.6
Dec 2016,102
Jan 2017,58.4
Feb 2017,123
Mar 2017,107
Apr 2017,20.4
May 2017,53
Jun 2017,140.8
Jul 2017,90.8
Aug 2017,138
Sep 2017,90.2
Oct 2017,159.4
Nov 2017,102.8
Dec 2017,113.2
Jan 2018,197
Feb 2018,64.8
Mar 2018,64
Apr 2018,105.8
May 2018,28.4
Jun 2018,76
Jul 2018,60.4
Aug 2018,86.6
Sep 2018,116.6
Oct 2018,113.4
Nov 2018,144.4
Dec 2018,91.6
Jan 2019,55.2
Feb 2019,77
Mar 2019,178.4
Apr 2019,29.6
May 2019,60.6
Jun 2019,74.6
Jul 2019,74.8
Aug 2019,180.8
Sep 2019,137.6
Oct 2019,148.2
Nov 2019,51
Dec 2019,200.6
Jan 2020,164.8
Feb 2020,308.4
Mar 2020,100.6
Apr 2020,21.4
May 2020,47.6
Jun 2020,148.4
Jul 2020,142.8
Aug 2020,125.6
Sep 2020,81.6
Oct 2020,139
Nov 2020,143
Dec 2020,134.4
Jan 2021,124
Feb 2021,99.8
Mar 2021,116.8
Apr 2021,11.4
May 2021,86.2
Jun 2021,30.2
Jul 2021,26.4
Aug 2021,90.6
Sep 2021,98.6
Oct 2021,159
Nov 2021,91.8
Dec 2021,104.2
Jan 2022,86.8
Feb 2022,234.4
Mar 2022,39.4
Apr 2022,49.4
May 2022,81.8
Jun 2022,60
Jul 2022,43.2
Aug 2022,69.8
Sep 2022,113
Oct 2022,170.6
Nov 2022,103.6
Dec 2022,130.2
Jan 2023,149.8
Feb 2023,63.6
Mar 2023,82.8
Apr 2023,47.8
May 2023,27.4
Jun 2023,63.4
Jul 2023,138.2
Aug 2023,95.2
Sep 2023,129.2
Oct 2023,123
Nov 2023,95.4
Dec 2023,181
Jan 2024,131.2
Feb 2024,126.2
Mar 2024,120.2
Apr 2024,119.8
May 2024,121
Jun 2024,66.2
Jul 2024,80.6
Aug 2024,193.6
Sep 2024,57
Oct 2024,83.2
Nov 2024,46.8
Dec 2024,126.4
Jan 2025,43.8
Feb 2025,63.6
Mar 2025,67.8
Apr 2025,37.8
May 2025,77.8
Jun 2025,106
Jul 2025,111
Aug 2025,54.8
