Timestamp,Value
Sep 2015,39.6
Oct 2015,50.8
Nov 2015,96.8
Dec 2015,132.8
Jan 2016,88.8
Feb 2016,50.4
Mar 2016,43
Apr 2016,85.2
May 2016,47.8
Jun 2016,57.8
Jul 2016,92.8
Aug 2016,78.8
Sep 2016,42.8
Oct 2016,75.6
Nov 2016,117.2
Dec 2016,24.6
Jan 2017,30.8
Feb 2017,81.4
Mar 2017,41
Apr 2017,18.6
May 2017,45.2
Jun 2017,116.2
Jul 2017,65.6
Aug 2017,45.8
Sep 2017,63.2
Oct 2017,36
Nov 2017,60.4
Dec 2017,53.4
Jan 2018,57.2
Feb 2018,41
Mar 2018,126.4
Apr 2018,72
May 2018,23.4
Jun 2018,26.8
Jul 2018,51.4
Aug 2018,62.2
Sep 2018,64.8
Oct 2018,48
Nov 2018,57.8
Dec 2018,33.4
Jan 2019,17.2
Feb 2019,22.8
Mar 2019,84.4
Apr 2019,55.2
May 2019,56.8
Jun 2019,89
Jul 2019,96.2
Aug 2019,86.4
Sep 2019,56.2
Oct 2019,76
Nov 2019,144
Dec 2019,30
Jan 2020,24.4
Feb 2020,81.6
Mar 2020,27
Apr 2020,1.6
May 2020,27.8
Jun 2020,58.2
Jul 2020,53.2
Aug 2020,89.2
Sep 2020,16
Oct 2020,106.8
Nov 2020,24.2
Dec 2020,131.2
Jan 2021,104.8
Feb 2021,87.4
Mar 2021,23
Apr 2021,10.6
May 2021,88
Jun 2021,31.2
Jul 2021,41.8
Aug 2021,73.6
Sep 2021,42
Oct 2021,123
Nov 2021,67
Dec 2021,92.6
Jan 2022,10.6
Feb 2022,56.6
Mar 2022,35.6
Apr 2022,34.8
May 2022,69
Jun 2022,30.8
Jul 2022,39.6
Aug 2022,24
Sep 2022,77
Oct 2022,66.4
Nov 2022,98.4
Dec 2022,77.4
Jan 2023,28.6
Feb 2023,28.6
Mar 2023,64.2
Apr 2023,34.6
May 2023,20.8
Jun 2023,53.4
Jul 2023,100.6
Aug 2023,65
Sep 2023,47.4
Oct 2023,158
Nov 2023,100
Dec 2023,140.8
Jan 2024,69.6
Feb 2024,48.2
Mar 2024,75.4
Apr 2024,105
May 2024,70.4
Jun 2024,25.4
Jul 2024,87.8
Aug 2024,61
Sep 2024,56.2
Oct 2024,95.2
Nov 2024,45.4
Dec 2024,58.4
Jan 2025,40.2
Feb 2025,24.4
Mar 2025,17
Apr 2025,8.4
May 2025,32.2
Jun 2025,85.8
Jul 2025,58.2
Aug 2025,14.6
