Timestamp,Value
Jun 2015,54.4
Jul 2015,141.8
Aug 2015,114.6
Sep 2015,91.8
Oct 2015,91.4
Nov 2015,297.6
Dec 2015,393.8
Jan 2016,257.6
Feb 2016,240.8
Mar 2016,116.8
Apr 2016,111.6
May 2016,105.2
Jun 2016,79.8
Jul 2016,223.4
Aug 2016,196.2
Sep 2016,143.6
Oct 2016,75
Nov 2016,169
Dec 2016,250.2
Jan 2017,134
Feb 2017,130.4
Mar 2017,128.4
Apr 2017,174.2
May 2017,50.6
Jun 2017,138.8
Jul 2017,118.8
Aug 2017,159.6
Sep 2017,155.8
Oct 2017,274.4
Nov 2017,271.2
Dec 2017,314.4
Jan 2018,226.2
Feb 2018,118.2
Mar 2018,85.6
Apr 2018,72.2
May 2018,49
Jun 2018,65.8
Jul 2018,4.8
Aug 2018,108.8
Sep 2018,308.2
Oct 2018,323.8
Nov 2018,81
Dec 2018,193.4
Jan 2019,269
Feb 2019,102.8
Mar 2019,274.2
Apr 2019,48.4
May 2019,139.2
Jun 2019,113.6
Jul 2019,172.2
Aug 2019,251.6
Sep 2019,149.2
Oct 2019,157
Nov 2019,32.8
Dec 2019,287
Jan 2020,335.2
Feb 2020,326.2
Mar 2020,227.8
Apr 2020,36.8
May 2020,131
Jun 2020,138.6
Jul 2020,126
Aug 2020,53.2
Sep 2020,204
Oct 2020,269.8
Nov 2020,208.8
Dec 2020,209.8
Jan 2021,220
Feb 2021,60.4
Mar 2021,284.8
Apr 2021,84
May 2021,68
Jun 2021,40
Jul 2021,82.6
Aug 2021,94.6
Sep 2021,137
Oct 2021,305.4
Nov 2021,375.2
Dec 2021,149.8
Jan 2022,222.6
Feb 2022,317.2
Mar 2022,48.8
Apr 2022,133.4
May 2022,176.6
Jun 2022,84.2
Jul 2022,144.2
Aug 2022,80.4
Sep 2022,133.4
Oct 2022,193.8
Nov 2022,176.2
Dec 2022,190.8
Jan 2023,203.2
Feb 2023,227.6
Mar 2023,119.8
Apr 2023,71.2
May 2023,45.2
Jun 2023,53.4
Jul 2023,175.4
Aug 2023,136
Sep 2023,266.4
Oct 2023,197.8
Nov 2023,127.8
Dec 2023,293.4
Jan 2024,240.2
Feb 2024,226
Mar 2024,86.8
Apr 2024,111.8
May 2024,81
Jun 2024,178.2
Jul 2024,93.4
Aug 2024,200
Sep 2024,115.6
Oct 2024,183.6
Nov 2024,172
Dec 2024,353.2
Jan 2025,105.2
Feb 2025,102.2
Mar 2025,123.8
Apr 2025,53.6
May 2025,17.6
