Timestamp,Value
Jun 2015,48.1
Jul 2015,125.3
Aug 2015,35.1
Sep 2015,33
Oct 2015,43.2
Nov 2015,245.9
Dec 2015,277
Jan 2016,197.3
Feb 2016,142.6
Mar 2016,55.3
Apr 2016,73.2
May 2016,43
Jun 2016,63.9
Jul 2016,95.9
Aug 2016,89.4
Sep 2016,69.3
Oct 2016,33.2
Nov 2016,117.2
Dec 2016,102.3
Jan 2017,52.7
Feb 2017,100.8
Mar 2017,110.5
Apr 2017,19.1
May 2017,46.9
Jun 2017,171.9
Jul 2017,113.3
Aug 2017,109.1
Sep 2017,101.2
Oct 2017,102.7
Nov 2017,85
Dec 2017,113.8
Jan 2018,156
Feb 2018,57.5
Mar 2018,63.2
Apr 2018,57.7
May 2018,19.9
Jun 2018,79.9
Jul 2018,63.5
Aug 2018,98.3
Sep 2018,94.5
Oct 2018,68.1
Nov 2018,93.7
Dec 2018,85.7
Jan 2019,41
Feb 2019,138.5
Mar 2019,147.2
Apr 2019,47.4
May 2019,78.3
Jun 2019,126.3
Jul 2019,109.6
Aug 2019,130.9
Sep 2019,125
Oct 2019,140.2
Nov 2019,120
Dec 2019,139.3
Jan 2020,137
Feb 2020,252.5
Mar 2020,102.3
Apr 2020,5.7
May 2020,48
Jun 2020,93.7
Jul 2020,119.6
Aug 2020,160.1
Sep 2020,76.7
Oct 2020,161.8
Nov 2020,115
Dec 2020,160
Jan 2021,130.2
Feb 2021,53.9
Mar 2021,93.9
Apr 2021,18.3
May 2021,129.7
Jun 2021,21.2
Jul 2021,38
Aug 2021,105.7
Sep 2021,78.7
Oct 2021,175.6
Nov 2021,70.1
Dec 2021,99.4
Jan 2022,52.6
Feb 2022,201.4
Mar 2022,51.8
Apr 2022,49.6
May 2022,68.6
Jun 2022,70.4
Jul 2022,63.3
Aug 2022,65.4
Sep 2022,138.6
Oct 2022,136
Nov 2022,133.8
Dec 2022,147.9
Jan 2023,122.5
Feb 2023,66.2
Mar 2023,104.7
Apr 2023,32.4
May 2023,36
Jun 2023,67.7
Jul 2023,102
Aug 2023,78.8
Sep 2023,148.5
Oct 2023,124
Nov 2023,95.2
Dec 2023,193.6
Jan 2024,116.9
Feb 2024,111.1
Mar 2024,112.3
Apr 2024,127
May 2024,161.2
Jun 2024,72.7
Jul 2024,61.4
Aug 2024,137.1
Sep 2024,66.3
Oct 2024,89
Nov 2024,37.6
Dec 2024,138
Jan 2025,69.8
Feb 2025,45.9
Mar 2025,39.1
Apr 2025,31.2
May 2025,8.3
