Timestamp,Value
Jun 2015,34.6
Jul 2015,114.6
Aug 2015,72.4
Sep 2015,32.6
Oct 2015,55.6
Nov 2015,137.2
Dec 2015,146.8
Jan 2016,97.2
Feb 2016,51.8
Mar 2016,24.2
Apr 2016,86.4
May 2016,23
Jun 2016,76
Jul 2016,68.4
Aug 2016,43.4
Sep 2016,53.4
Oct 2016,52.8
Nov 2016,44.2
Dec 2016,54.6
Jan 2017,25
Feb 2017,82.2
Mar 2017,52
Apr 2017,7.8
May 2017,43.2
Jun 2017,162
Jul 2017,62.2
Aug 2017,80.6
Sep 2017,71.2
Oct 2017,52.2
Nov 2017,37.6
Dec 2017,48.4
Jan 2018,79
Feb 2018,28.2
Mar 2018,92.2
Apr 2018,65.4
May 2018,10
Jun 2018,48
Jul 2018,48
Aug 2018,65.8
Sep 2018,53.8
Oct 2018,50.4
Nov 2018,84.4
Dec 2018,56
Jan 2019,11.4
Feb 2019,27.4
Mar 2019,77.2
Apr 2019,53.4
May 2019,83.8
Jun 2019,73.4
Jul 2019,89.8
Aug 2019,135.8
Sep 2019,84.2
Oct 2019,96.4
Nov 2019,138
Dec 2019,52.2
Jan 2020,49.2
Feb 2020,136.6
Mar 2020,28.2
Apr 2020,10
May 2020,22.6
Jun 2020,74.4
Jul 2020,94.8
Aug 2020,102.8
Sep 2020,45.8
Oct 2020,142.8
Nov 2020,54.6
Dec 2020,128
Jan 2021,93.6
Feb 2021,97.4
Mar 2021,29.8
Apr 2021,6.8
May 2021,149
Jun 2021,22
Jul 2021,45.6
Aug 2021,51.8
Sep 2021,46.4
Oct 2021,137
Nov 2021,47.8
Dec 2021,72
Jan 2022,19.8
Feb 2022,86
Mar 2022,31.8
Apr 2022,40.2
May 2022,37.4
Jun 2022,29
Jul 2022,33.2
Aug 2022,57.6
Sep 2022,98.8
Oct 2022,90.2
Nov 2022,126.2
Dec 2022,117
Jan 2023,59.8
Feb 2023,27
Mar 2023,92.2
Apr 2023,31.6
May 2023,25.4
Jun 2023,48.2
Jul 2023,95
Aug 2023,46.4
Sep 2023,76.8
Oct 2023,237.8
Nov 2023,78.2
Dec 2023,145.6
Jan 2024,85.8
Feb 2024,55.6
Mar 2024,81
Apr 2024,97.2
May 2024,100.4
Jun 2024,40.2
Jul 2024,58.2
Aug 2024,66.8
Sep 2024,37
Oct 2024,77.6
Nov 2024,30.8
Dec 2024,78
Jan 2025,37.6
Feb 2025,34.4
Mar 2025,21.8
Apr 2025,21.4
May 2025,7.2
