Timestamp,Value
Jun 2015,50.4
Jul 2015,181
Aug 2015,108.4
Sep 2015,39.4
Oct 2015,84.4
Nov 2015,267
Dec 2015,335.2
Jan 2016,225
Feb 2016,150
Mar 2016,68
Apr 2016,77.2
May 2016,73.2
Jun 2016,72.8
Jul 2016,120
Aug 2016,108.6
Sep 2016,164.4
Oct 2016,52.4
Nov 2016,69
Dec 2016,125.2
Jan 2017,66.4
Feb 2017,146.6
Mar 2017,116.8
Apr 2017,15.8
May 2017,54
Jun 2017,140.8
Jul 2017,94
Aug 2017,116.2
Sep 2017,116.8
Oct 2017,132.8
Nov 2017,81.4
Dec 2017,113.6
Jan 2018,186.4
Feb 2018,70.2
Mar 2018,99
Apr 2018,108.4
May 2018,28.8
Jun 2018,53.2
Jul 2018,47.6
Aug 2018,65
Sep 2018,103.6
Oct 2018,102.2
Nov 2018,169.4
Dec 2018,109.4
Jan 2019,48.4
Feb 2019,73.4
Mar 2019,150.6
Apr 2019,32.6
May 2019,57.6
Jun 2019,60.6
Jul 2019,92
Aug 2019,142
Sep 2019,76.6
Oct 2019,103.2
Nov 2019,73.6
Dec 2019,160.4
Jan 2020,140
Feb 2020,259.8
Mar 2020,90.8
Apr 2020,22.4
May 2020,36.6
Jun 2020,79.4
Jul 2020,114.4
Aug 2020,108.6
Sep 2020,50.8
Oct 2020,130.6
Nov 2020,109.2
Dec 2020,130.8
Jan 2021,98.8
Feb 2021,158.6
Mar 2021,67.4
Apr 2021,9.8
May 2021,81.2
Jun 2021,46.2
Jul 2021,41.6
Aug 2021,79.2
Sep 2021,87.2
Oct 2021,154.6
Nov 2021,0.2
Dec 2021,74.8
Jan 2022,78.4
Feb 2022,249.2
Mar 2022,52
Apr 2022,39.2
May 2022,77.2
Jun 2022,85.8
Jul 2022,43.6
Aug 2022,89.4
Sep 2022,137.2
Oct 2022,217.2
Nov 2022,156.2
Dec 2022,161.6
Jan 2023,169.6
Feb 2023,68.8
Mar 2023,131.4
Apr 2023,56.6
May 2023,30.4
Jun 2023,68.4
Jul 2023,105.4
Aug 2023,57.8
Sep 2023,131.8
Oct 2023,169.8
Nov 2023,86
Dec 2023,208
Jan 2024,123.8
Feb 2024,115.6
Mar 2024,105.6
Apr 2024,137.2
May 2024,94.2
Jun 2024,39.8
Jul 2024,40.8
Aug 2024,123.8
Sep 2024,31.6
Oct 2024,52
Nov 2024,54.6
Dec 2024,156
Jan 2025,56
Feb 2025,89.8
Mar 2025,50
Apr 2025,61.8
May 2025,4
