Timestamp,Value
Jun 2015,92.8
Jul 2015,186.2
Aug 2015,112.2
Sep 2015,30.6
Oct 2015,95
Nov 2015,320.4
Dec 2015,252
Jan 2016,218
Feb 2016,192.4
Mar 2016,91.2
Apr 2016,105
May 2016,100
Jun 2016,73.6
Jul 2016,119.6
Aug 2016,105
Sep 2016,157.4
Oct 2016,56.6
Nov 2016,107.2
Dec 2016,88.6
Jan 2017,90.4
Feb 2017,171
Mar 2017,150.6
Apr 2017,29.6
May 2017,65.4
Jun 2017,149.6
Jul 2017,102.2
Aug 2017,144
Sep 2017,156.4
Oct 2017,210.2
Nov 2017,130.2
Dec 2017,115.2
Jan 2018,201.2
Feb 2018,72
Mar 2018,81.2
Apr 2018,80.6
May 2018,42.4
Jun 2018,70.2
Jul 2018,75.2
Aug 2018,110.6
Sep 2018,120.6
Oct 2018,140.8
Nov 2018,170.2
Dec 2018,109.8
Jan 2019,76.4
Feb 2019,99.6
Mar 2019,146
Apr 2019,63
May 2019,81.4
Jun 2019,74.4
Jul 2019,133.6
Aug 2019,230.4
Sep 2019,134.4
Oct 2019,160.8
Nov 2019,66.8
Dec 2019,198.4
Jan 2020,142.4
Feb 2020,276.4
Mar 2020,105.2
Apr 2020,18
May 2020,73.6
Jun 2020,153.6
Jul 2020,199.2
Aug 2020,176.4
Sep 2020,152.8
Oct 2020,220.4
Nov 2020,166.6
Dec 2020,145.8
Jan 2021,119.8
Feb 2021,138.4
Mar 2021,111
Apr 2021,13.2
May 2021,68
Jun 2021,48.6
Jul 2021,43.6
Aug 2021,119.8
Sep 2021,100.6
Oct 2021,239.2
Nov 2021,111
Dec 2021,138.6
Jan 2022,116.2
Feb 2022,250
Mar 2022,52
Apr 2022,73.2
May 2022,111
Jun 2022,92.4
Jul 2022,64.6
Aug 2022,77.6
Sep 2022,153.8
Oct 2022,223.6
Nov 2022,134.4
Dec 2022,136.8
Jan 2023,202
Feb 2023,75.2
Mar 2023,151.4
Apr 2023,67.6
May 2023,48.8
Jun 2023,80.6
Jul 2023,136.8
Aug 2023,78.8
Sep 2023,130
Oct 2023,127.8
Nov 2023,95
Dec 2023,251.6
Jan 2024,117.8
Feb 2024,157.4
Mar 2024,129.6
Apr 2024,133
May 2024,82
Jun 2024,59.2
Jul 2024,59.4
Aug 2024,289.2
Sep 2024,62
Oct 2024,122.6
Nov 2024,65
Dec 2024,169.8
Jan 2025,62.4
Feb 2025,98.4
Mar 2025,76
Apr 2025,57.8
May 2025,0.2
