Timestamp,Value
Sep 2015,39.2
Oct 2015,74.4
Nov 2015,59.2
Dec 2015,83
Jan 2016,153
Feb 2016,36.8
Mar 2016,35.2
Apr 2016,92.4
May 2016,14
Jun 2016,102.6
Jul 2016,121.6
Aug 2016,67.2
Sep 2016,30
Oct 2016,53
Nov 2016,80.4
Dec 2016,24.6
Jan 2017,47.4
Feb 2017,58
Mar 2017,54.2
Apr 2017,39.8
May 2017,25.6
Jun 2017,125
Jul 2017,77.8
Aug 2017,87.2
Sep 2017,70.8
Oct 2017,60.2
Nov 2017,101.4
Dec 2017,66
Jan 2018,29
Feb 2018,34.4
Mar 2018,84.4
Apr 2018,37.6
May 2018,15.4
Jun 2018,29
Jul 2018,70.2
Aug 2018,32
Sep 2018,44.6
Oct 2018,93.4
Nov 2018,76.2
Dec 2018,49.2
Jan 2019,43.4
Feb 2019,25.2
Mar 2019,61.4
Apr 2019,35.4
May 2019,52.8
Jun 2019,78.6
Jul 2019,80.8
Aug 2019,53.2
Sep 2019,65.8
Oct 2019,72.8
Nov 2019,116.4
Dec 2019,56.4
Jan 2020,22.4
Feb 2020,54
Mar 2020,13.6
Apr 2020,10.4
May 2020,33.6
Jun 2020,57.6
Jul 2020,103.6
Aug 2020,67.4
Sep 2020,22.6
Oct 2020,192.6
Nov 2020,27.6
Dec 2020,144.6
Jan 2021,74
Feb 2021,38
Mar 2021,29
Apr 2021,25.8
May 2021,63.8
Jun 2021,10
Jul 2021,31.6
Aug 2021,44.2
Sep 2021,53.8
Oct 2021,122.6
Nov 2021,58
Dec 2021,67
Jan 2022,25.4
Feb 2022,55
Mar 2022,40
Apr 2022,65.8
May 2022,38.6
Jun 2022,23.4
Jul 2022,50.8
Aug 2022,27.8
Sep 2022,88.8
Oct 2022,99.8
Nov 2022,102
Dec 2022,83
Jan 2023,64
Feb 2023,26.2
Mar 2023,68.8
Apr 2023,43.8
May 2023,42.4
Jun 2023,50.6
Jul 2023,92.8
Aug 2023,37.6
Sep 2023,43.4
Oct 2023,144
Nov 2023,89.8
Dec 2023,141.2
Jan 2024,66.4
Feb 2024,67.8
Mar 2024,65.6
Apr 2024,97.6
May 2024,34.2
Jun 2024,31.2
Jul 2024,86.6
Aug 2024,79
Sep 2024,34.2
Oct 2024,87.4
Nov 2024,45.6
Dec 2024,92.8
Jan 2025,55.6
Feb 2025,26.2
Mar 2025,35.2
Apr 2025,9.4
May 2025,30.4
Jun 2025,62.4
Jul 2025,62.2
Aug 2025,12
