Timestamp,Value
Sep 2015,23.8
Oct 2015,56.2
Nov 2015,116.8
Dec 2015,139.6
Jan 2016,168.4
Feb 2016,60.8
Mar 2016,23.4
Apr 2016,78
May 2016,20.6
Jun 2016,84
Jul 2016,82.8
Aug 2016,37.8
Sep 2016,35.4
Oct 2016,84.8
Nov 2016,33.2
Dec 2016,41.2
Jan 2017,23
Feb 2017,66
Mar 2017,56.4
Apr 2017,10.2
May 2017,50.2
Jun 2017,118.8
Jul 2017,53.8
Aug 2017,88.8
Sep 2017,75.6
Oct 2017,51
Nov 2017,45
Dec 2017,33.8
Jan 2018,61.2
Feb 2018,21
Mar 2018,115
Apr 2018,38.2
May 2018,29.8
Jun 2018,34
Jul 2018,47.6
Aug 2018,58.4
Sep 2018,32.2
Oct 2018,58.2
Nov 2018,108.6
Dec 2018,52.6
Jan 2019,9.8
Feb 2019,26.4
Mar 2019,73.2
Apr 2019,31.6
May 2019,96.6
Jun 2019,83.8
Jul 2019,93.6
Aug 2019,167.6
Sep 2019,69.4
Oct 2019,77.6
Nov 2019,124.6
Dec 2019,50.6
Jan 2020,27.6
Feb 2020,118.8
Mar 2020,22.2
Apr 2020,12.8
May 2020,22.6
Jun 2020,58.4
Jul 2020,86
Aug 2020,128.4
Sep 2020,37.8
Oct 2020,195.2
Nov 2020,47.4
Dec 2020,107.8
Jan 2021,70
Feb 2021,93.8
Mar 2021,26
Apr 2021,13.8
May 2021,129.8
Jun 2021,6
Jul 2021,81.4
Aug 2021,60.8
Sep 2021,47.6
Oct 2021,106.4
Nov 2021,39.2
Dec 2021,72.8
Jan 2022,11.8
Feb 2022,60.2
Mar 2022,25
Apr 2022,30.8
May 2022,40.8
Jun 2022,26.8
Jul 2022,26.8
Aug 2022,62.6
Sep 2022,73
Oct 2022,82.6
Nov 2022,176.6
Dec 2022,100.8
Jan 2023,41
Feb 2023,23.8
Mar 2023,71.4
Apr 2023,49.4
May 2023,20.8
Jun 2023,37.4
Jul 2023,97.4
Aug 2023,54
Sep 2023,74.6
Oct 2023,232
Nov 2023,98
Dec 2023,161.8
Jan 2024,59.8
Feb 2024,46.2
Mar 2024,81.4
Apr 2024,77
May 2024,58.8
Jun 2024,39.8
Jul 2024,36.4
Aug 2024,61.8
Sep 2024,22
Oct 2024,59.6
Nov 2024,33.8
Dec 2024,66.8
Jan 2025,26.4
Feb 2025,33.4
Mar 2025,18.4
Apr 2025,14.6
May 2025,32.6
Jun 2025,57.8
Jul 2025,63
Aug 2025,35.8
