Timestamp,Value
Jun 2015,90
Jul 2015,210.6
Aug 2015,73
Sep 2015,31.2
Oct 2015,82
Nov 2015,281.6
Dec 2015,247
Jan 2016,199.8
Feb 2016,176.4
Mar 2016,50.2
Apr 2016,97.2
May 2016,67.2
Jun 2016,80.8
Jul 2016,148.6
Aug 2016,104.6
Sep 2016,167.6
Oct 2016,66.6
Nov 2016,114.6
Dec 2016,123
Jan 2017,73.8
Feb 2017,164.6
Mar 2017,142.6
Apr 2017,23.8
May 2017,81.6
Jun 2017,183.8
Jul 2017,120
Aug 2017,151.6
Sep 2017,116.8
Oct 2017,159.6
Nov 2017,92.6
Dec 2017,134.4
Jan 2018,187.6
Feb 2018,66.4
Mar 2018,100.4
Apr 2018,84.2
May 2018,28
Jun 2018,100.2
Jul 2018,34.8
Aug 2018,118.8
Sep 2018,135.2
Oct 2018,119.8
Nov 2018,150.6
Dec 2018,116.4
Jan 2019,59.2
Feb 2019,80.8
Mar 2019,165.8
Apr 2019,44.8
May 2019,99.6
Jun 2019,93.8
Jul 2019,139.8
Aug 2019,165.2
Sep 2019,134.6
Oct 2019,130
Nov 2019,77.4
Dec 2019,190
Jan 2020,171.4
Feb 2020,276.6
Mar 2020,110
Apr 2020,17
May 2020,69.8
Jun 2020,143.4
Jul 2020,173.6
Aug 2020,191.8
Sep 2020,115
Oct 2020,160.6
Nov 2020,157
Dec 2020,143.4
Jan 2021,118.4
Feb 2021,117.6
Mar 2021,93.2
Apr 2021,17.4
May 2021,87.4
Jun 2021,25.2
Jul 2021,43.6
Aug 2021,93.2
Sep 2021,130.2
Oct 2021,229.4
Nov 2021,124.2
Dec 2021,129.8
Jan 2022,92.8
Feb 2022,260.1
Mar 2022,31.6
Apr 2022,56.3
May 2022,104
Jun 2022,69.6
Jul 2022,63.4
Aug 2022,110.8
Sep 2022,139.4
Oct 2022,192.8
Nov 2022,122.2
Dec 2022,153.4
Jan 2023,165.4
Feb 2023,95.8
Mar 2023,148
Apr 2023,55.8
May 2023,38.6
Jun 2023,78
Jul 2023,205.2
Aug 2023,85.4
Sep 2023,163.2
Oct 2023,199.6
Nov 2023,116.4
Dec 2023,281.6
Jan 2024,163
Feb 2024,140.4
Mar 2024,127.6
Apr 2024,166.8
May 2024,100.4
Jun 2024,59.4
Jul 2024,70.4
Aug 2024,242.4
Sep 2024,63.6
Oct 2024,95.2
Nov 2024,55.8
Dec 2024,213.8
Jan 2025,75.6
Feb 2025,83.8
Mar 2025,62
Apr 2025,56.8
May 2025,10.6
