Timestamp,Value
Jun 2015,66.8
Jul 2015,115.2
Aug 2015,36.4
Sep 2015,32.4
Oct 2015,36.8
Nov 2015,211.2
Dec 2015,246.2
Jan 2016,153.4
Feb 2016,112.2
Mar 2016,57.6
Apr 2016,68
May 2016,48.8
Jun 2016,66.8
Jul 2016,92
Aug 2016,65.8
Sep 2016,26
Oct 2016,19.2
Nov 2016,49.3
Dec 2016,57.7
Jan 2017,53.4
Feb 2017,65.8
Mar 2017,53.4
Apr 2017,18.3
May 2017,37.3
Jun 2017,101.6
Jul 2017,70.6
Aug 2017,80.8
Sep 2017,69.9
Oct 2017,76.1
Nov 2017,70.9
Dec 2017,69
Jan 2018,109.2
Feb 2018,43.9
Mar 2018,33.9
Apr 2018,38.9
May 2018,17.3
Jun 2018,82.2
Jul 2018,50.3
Aug 2018,62.7
Sep 2018,66.1
Oct 2018,50.3
Nov 2018,60.1
Dec 2018,51.9
Jan 2019,28.8
Feb 2019,41.7
Mar 2019,84.3
Apr 2019,33.7
May 2019,43.1
Jun 2019,47
Jul 2019,67
Aug 2019,108.7
Sep 2019,80.2
Oct 2019,90.3
Nov 2019,54.1
Dec 2019,106.1
Jan 2020,96.5
Feb 2020,155.9
Mar 2020,71
Apr 2020,9
May 2020,27.4
Jun 2020,78.3
Jul 2020,97.3
Aug 2020,94.7
Sep 2020,39.5
Oct 2020,103.1
Nov 2020,86.2
Dec 2020,96.1
Jan 2021,78.1
Feb 2021,29.9
Mar 2021,59.4
Apr 2021,10.1
May 2021,56.1
Jun 2021,19
Jul 2021,32.8
Aug 2021,60.6
Sep 2021,75.7
Oct 2021,86.5
Nov 2021,49.2
Dec 2021,53.5
Jan 2022,44.6
Feb 2022,123.6
Mar 2022,30
Apr 2022,28.6
May 2022,41.2
Jun 2022,46.5
Jul 2022,30
Aug 2022,59
Sep 2022,98.2
Oct 2022,96.4
Nov 2022,78.1
Dec 2022,65.3
Jan 2023,73.1
Feb 2023,29.6
Mar 2023,50.1
Apr 2023,24.1
May 2023,37.6
Jun 2023,59.2
Jul 2023,113.6
Aug 2023,42.6
Sep 2023,85.8
Oct 2023,63.7
Nov 2023,54.2
Dec 2023,71.7
Jan 2024,66.1
Feb 2024,62.5
Mar 2024,53.1
Apr 2024,66.5
May 2024,106.8
Jun 2024,51.5
Jul 2024,59.1
Aug 2024,86.6
Sep 2024,47.7
Oct 2024,44.8
Nov 2024,17.9
Dec 2024,60.8
Jan 2025,35.4
Feb 2025,33.1
Mar 2025,30.8
Apr 2025,23.5
May 2025,0
