Timestamp,Value
Sep 2015,44.8
Oct 2015,102
Nov 2015,192.2
Dec 2015,331.4
Jan 2016,194.6
Feb 2016,185.8
Mar 2016,108.2
Apr 2016,77.4
May 2016,69.2
Jun 2016,89.6
Jul 2016,129.2
Aug 2016,136.6
Sep 2016,197.6
Oct 2016,53.8
Nov 2016,124
Dec 2016,172.4
Jan 2017,86.8
Feb 2017,138.8
Mar 2017,151.8
Apr 2017,82.6
May 2017,39.6
Jun 2017,64
Jul 2017,97.4
Aug 2017,152.2
Sep 2017,115.4
Oct 2017,167.2
Nov 2017,200
Dec 2017,159.8
Jan 2018,186.6
Feb 2018,123.2
Mar 2018,66.2
Apr 2018,77.2
May 2018,56.8
Jun 2018,35.4
Jul 2018,63.6
Aug 2018,86.6
Sep 2018,236.2
Oct 2018,157.2
Nov 2018,108.8
Dec 2018,164.8
Jan 2019,149.4
Feb 2019,120.8
Mar 2019,181
Apr 2019,48.8
May 2019,72.6
Jun 2019,58
Jul 2019,55
Aug 2019,197
Sep 2019,137
Oct 2019,197.4
Nov 2019,55
Dec 2019,222.2
Jan 2020,287.6
Feb 2020,250.2
Mar 2020,196
Apr 2020,42.4
May 2020,102.2
Jun 2020,137.6
Jul 2020,112.2
Aug 2020,32.8
Sep 2020,182
Oct 2020,225.8
Nov 2020,183.8
Dec 2020,224.6
Jan 2021,130
Feb 2021,154.6
Mar 2021,164.4
Apr 2021,43.4
May 2021,64.6
Jun 2021,34.4
Jul 2021,42
Aug 2021,56.6
Sep 2021,150.4
Oct 2021,247.2
Nov 2021,199.2
Dec 2021,148.8
Jan 2022,168
Feb 2022,196.2
Mar 2022,73.2
Apr 2022,103.2
May 2022,147.4
Jun 2022,57.4
Jul 2022,68.8
Aug 2022,72
Sep 2022,127.6
Oct 2022,169.4
Nov 2022,272
Dec 2022,133
Jan 2023,213.8
Feb 2023,141
Mar 2023,102
Apr 2023,70.8
May 2023,31.4
Jun 2023,57.2
Jul 2023,138.6
Aug 2023,98.4
Sep 2023,186
Oct 2023,142
Nov 2023,103
Dec 2023,247.4
Jan 2024,210.8
Feb 2024,171
Mar 2024,84.4
Apr 2024,119.6
May 2024,41.4
Jun 2024,99
Jul 2024,99.2
Aug 2024,234.2
Sep 2024,73.8
Oct 2024,154.6
Nov 2024,131.6
Dec 2024,220.6
Jan 2025,104.4
Feb 2025,124.8
Mar 2025,130.6
Apr 2025,68.8
May 2025,58.4
