Timestamp,Value
Jun 2015,70.6
Jul 2015,112.4
Aug 2015,71.6
Sep 2015,30.6
Oct 2015,60.8
Nov 2015,281.8
Dec 2015,217.4
Jan 2016,177.6
Feb 2016,168.2
Mar 2016,51.6
Apr 2016,73.8
May 2016,62.8
Jun 2016,74.6
Jul 2016,130.8
Aug 2016,84.8
Sep 2016,114.4
Oct 2016,35.4
Nov 2016,106.8
Dec 2016,84.2
Jan 2017,59.2
Feb 2017,108.8
Mar 2017,109.2
Apr 2017,26.8
May 2017,50.2
Jun 2017,145.4
Jul 2017,98
Aug 2017,128.4
Sep 2017,113.4
Oct 2017,167
Nov 2017,133.4
Dec 2017,130.6
Jan 2018,142
Feb 2018,61
Mar 2018,46
Apr 2018,72.4
May 2018,20
Jun 2018,62.4
Jul 2018,89.6
Aug 2018,123.6
Sep 2018,82.4
Oct 2018,99.8
Nov 2018,125.2
Dec 2018,104.6
Jan 2019,77.6
Feb 2019,63.4
Mar 2019,159.2
Apr 2019,48.6
May 2019,68.4
Jun 2019,53.6
Jul 2019,125.6
Aug 2019,216.8
Sep 2019,139.8
Oct 2019,116.6
Nov 2019,42.4
Dec 2019,174
Jan 2020,133.6
Feb 2020,238.2
Mar 2020,88.4
Apr 2020,18.6
May 2020,49.2
Jun 2020,131.6
Jul 2020,190.6
Aug 2020,145.8
Sep 2020,93.4
Oct 2020,136.4
Nov 2020,158.2
Dec 2020,107.4
Jan 2021,100.4
Feb 2021,61.2
Mar 2021,65.2
Apr 2021,12
May 2021,45.2
Jun 2021,12.6
Jul 2021,16.2
Aug 2021,65.4
Sep 2021,99.6
Oct 2021,197.4
Nov 2021,102.6
Dec 2021,121.4
Jan 2022,79.6
Feb 2022,188
Mar 2022,41.2
Apr 2022,67.2
May 2022,69.6
Jun 2022,59.6
Jul 2022,62
Aug 2022,10.6
Sep 2022,103
Oct 2022,141.2
Nov 2022,82.2
Dec 2022,97
Jan 2023,141.6
Feb 2023,59
Mar 2023,79.4
Apr 2023,59.2
May 2023,39.4
Jun 2023,74.2
Jul 2023,164.5
Aug 2023,61.6
Sep 2023,122.6
Oct 2023,104.4
Nov 2023,131.4
Dec 2023,198.6
Jan 2024,73.8
Feb 2024,116.6
Mar 2024,97
Apr 2024,110.4
May 2024,111.8
Jun 2024,51.4
Jul 2024,61.8
Aug 2024,209.4
Sep 2024,65.8
Oct 2024,71.6
Nov 2024,37.8
Dec 2024,102
Jan 2025,39.6
Feb 2025,61
Mar 2025,41.4
Apr 2025,34.8
May 2025,8.8
