Timestamp,Value
Jun 2015,50.2
Jul 2015,67.4
Aug 2015,86
Sep 2015,58.8
Oct 2015,45.4
Nov 2015,48.2
Dec 2015,77.2
Jan 2016,94
Feb 2016,56.2
Mar 2016,34.6
Apr 2016,65.8
May 2016,36.4
Jun 2016,91.4
Jul 2016,60.6
Aug 2016,51.2
Sep 2016,46.8
Oct 2016,45
Nov 2016,56.2
Dec 2016,50.6
Jan 2017,46.2
Feb 2017,30.8
Mar 2017,35
Apr 2017,31
May 2017,34.4
Jun 2017,168
Jul 2017,78.2
Aug 2017,89.8
Sep 2017,140.8
Oct 2017,68.6
Nov 2017,97.4
Dec 2017,47
Jan 2018,44.2
Feb 2018,29
Mar 2018,48.2
Apr 2018,45.2
May 2018,30.4
Jun 2018,27.8
Jul 2018,44.4
Aug 2018,28.6
Sep 2018,86.8
Oct 2018,72.6
Nov 2018,36
Dec 2018,23.6
Jan 2019,55.2
Feb 2019,40.2
Mar 2019,67.2
Apr 2019,45.4
May 2019,127.2
Jun 2019,105.8
Jul 2019,93.8
Aug 2019,178.8
Sep 2019,89.6
Oct 2019,56
Nov 2019,107.8
Dec 2019,42.8
Jan 2020,34.4
Feb 2020,65
Mar 2020,22
Apr 2020,7.8
May 2020,29.4
Jun 2020,65.8
Jul 2020,106.2
Aug 2020,33.4
Sep 2020,59.2
Oct 2020,182.8
Nov 2020,28.2
Dec 2020,130
Jan 2021,96.8
Feb 2021,30.8
Mar 2021,62
Apr 2021,19.4
May 2021,106.2
Jun 2021,8.2
Jul 2021,2
Aug 2021,21.6
Sep 2021,90.2
Oct 2021,112
Nov 2021,75.2
Dec 2021,61.8
Jan 2022,23
Feb 2022,85.2
Mar 2022,28.2
Apr 2022,86.4
May 2022,71.6
Jun 2022,27.6
Jul 2022,55.2
Aug 2022,44
Sep 2022,95.2
Oct 2022,59
Nov 2022,66.6
Dec 2022,78.6
Jan 2023,61.4
Feb 2023,31.8
Mar 2023,71.2
Apr 2023,44
May 2023,33.2
Jun 2023,32.6
Jul 2023,75.2
Aug 2023,92.8
Sep 2023,86.8
Oct 2023,138.2
Nov 2023,103.6
Dec 2023,108.6
Jan 2024,61.6
Feb 2024,62.6
Mar 2024,69.2
Apr 2024,97
May 2024,79.4
Jun 2024,87.2
Jul 2024,110.4
Aug 2024,40.8
Sep 2024,118
Oct 2024,47.8
Nov 2024,57.8
Dec 2024,159.6
Jan 2025,43.2
Feb 2025,16.8
Mar 2025,53.2
Apr 2025,17.4
May 2025,8.8
