Timestamp,Value
Jun 2015,27.2
Jul 2015,108.4
Aug 2015,25.6
Sep 2015,0
Oct 2015,0
Nov 2015,0
Dec 2015,0
Jan 2016,0
Feb 2016,0
Mar 2016,14.8
Apr 2016,69.8
May 2016,11.8
Jun 2016,44.6
Jul 2016,78
Aug 2016,52.6
Sep 2016,46.6
Oct 2016,43.8
Nov 2016,52.6
Dec 2016,40.2
Jan 2017,38.2
Feb 2017,60.6
Mar 2017,18.8
Apr 2017,16.4
May 2017,28
Jun 2017,99
Jul 2017,58.6
Aug 2017,53.8
Sep 2017,53.8
Oct 2017,51
Nov 2017,50
Dec 2017,29
Jan 2018,68.2
Feb 2018,48.6
Mar 2018,84
Apr 2018,53.8
May 2018,18.4
Jun 2018,10.4
Jul 2018,28.8
Aug 2018,77.8
Sep 2018,49.8
Oct 2018,50.2
Nov 2018,78.6
Dec 2018,46.4
Jan 2019,9.6
Feb 2019,27
Mar 2019,85.2
Apr 2019,34.6
May 2019,52.2
Jun 2019,53
Jul 2019,84.4
Aug 2019,99
Sep 2019,83.4
Oct 2019,75.8
Nov 2019,157.5
Dec 2019,50.8
Jan 2020,34.4
Feb 2020,123.2
Mar 2020,212.2
Apr 2020,34
May 2020,123
Jun 2020,223.8
Jul 2020,72.8
Aug 2020,111.2
Sep 2020,30.2
Oct 2020,122
Nov 2020,41.6
Dec 2020,129.4
Jan 2021,93
Feb 2021,183.2
Mar 2021,27.6
Apr 2021,16.6
May 2021,93.8
Jun 2021,16.2
Jul 2021,62.6
Aug 2021,71.6
Sep 2021,56
Oct 2021,382.6
Nov 2021,86.6
Dec 2021,79.8
Jan 2022,25
Feb 2022,96
Mar 2022,27.8
Apr 2022,39.4
May 2022,42
Jun 2022,42.4
Jul 2022,50.8
Aug 2022,58
Sep 2022,105
Oct 2022,86.8
Nov 2022,100.8
Dec 2022,86.6
Jan 2023,36.2
Feb 2023,28.6
Mar 2023,75.4
Apr 2023,30.8
May 2023,39.2
Jun 2023,49
Jul 2023,128
Aug 2023,69.6
Sep 2023,65.6
Oct 2023,167.8
Nov 2023,77.6
Dec 2023,138.2
Jan 2024,75.8
Feb 2024,45
Mar 2024,70.4
Apr 2024,85.2
May 2024,73.8
Jun 2024,21.6
Jul 2024,72.8
Aug 2024,61.2
Sep 2024,38.8
Oct 2024,93.2
Nov 2024,36
Dec 2024,86.8
Jan 2025,60.6
Feb 2025,36.2
Mar 2025,19.6
Apr 2025,13
May 2025,8.8
