Timestamp,Value
Sep 2015,40
Oct 2015,80.2
Nov 2015,210.6
Dec 2015,314.2
Jan 2016,238.4
Feb 2016,104.8
Mar 2016,84.6
Apr 2016,73.6
May 2016,71.8
Jun 2016,88
Jul 2016,139.8
Aug 2016,88
Sep 2016,140.2
Oct 2016,42
Nov 2016,64.4
Dec 2016,82.6
Jan 2017,55.6
Feb 2017,116.4
Mar 2017,149.6
Apr 2017,23
May 2017,98.4
Jun 2017,145.2
Jul 2017,116
Aug 2017,159.4
Sep 2017,123.6
Oct 2017,115.2
Nov 2017,90.6
Dec 2017,105
Jan 2018,163
Feb 2018,76.2
Mar 2018,90
Apr 2018,106.6
May 2018,44.8
Jun 2018,77
Jul 2018,47.8
Aug 2018,146.8
Sep 2018,116.8
Oct 2018,122.8
Nov 2018,169.8
Dec 2018,103.8
Jan 2019,48
Feb 2019,78.4
Mar 2019,170.4
Apr 2019,44.4
May 2019,68.2
Jun 2019,86.8
Jul 2019,105.2
Aug 2019,181.2
Sep 2019,189
Oct 2019,76
Nov 2019,69
Dec 2019,119.6
Jan 2020,161.6
Feb 2020,226
Mar 2020,70
Apr 2020,14.2
May 2020,30
Jun 2020,144
Jul 2020,154.6
Aug 2020,146.8
Sep 2020,81.2
Oct 2020,148.4
Nov 2020,126.6
Dec 2020,118.6
Jan 2021,85.6
Feb 2021,162.6
Mar 2021,112.4
Apr 2021,14.8
May 2021,126.4
Jun 2021,34.8
Jul 2021,35.4
Aug 2021,116.6
Sep 2021,104.6
Oct 2021,248.6
Nov 2021,75.8
Dec 2021,110
Jan 2022,46.8
Feb 2022,177.4
Mar 2022,69.4
Apr 2022,46.4
May 2022,85.4
Jun 2022,77
Jul 2022,75.8
Aug 2022,68
Sep 2022,113.8
Oct 2022,216.2
Nov 2022,164.2
Dec 2022,120.2
Jan 2023,144.2
Feb 2023,41.2
Mar 2023,152.2
Apr 2023,52
May 2023,31.4
Jun 2023,83.4
Jul 2023,205.8
Aug 2023,70.2
Sep 2023,157.6
Oct 2023,97
Nov 2023,83.8
Dec 2023,208.6
Jan 2024,128
Feb 2024,116.6
Mar 2024,140.2
Apr 2024,131.2
May 2024,88.8
Jun 2024,64.6
Jul 2024,91
Aug 2024,256.6
Sep 2024,50.2
Oct 2024,104.2
Nov 2024,34.8
Dec 2024,132
Jan 2025,68.8
Feb 2025,72.6
Mar 2025,38.2
Apr 2025,45.4
May 2025,98.2
Jun 2025,118
Jul 2025,107.8
Aug 2025,93.2
