Timestamp,Value
Jun 2015,52.6
Jul 2015,89.4
Aug 2015,56.6
Sep 2015,24.6
Oct 2015,60.8
Nov 2015,234.4
Dec 2015,198.2
Jan 2016,145.4
Feb 2016,140.2
Mar 2016,47.8
Apr 2016,81
May 2016,57
Jun 2016,105.8
Jul 2016,110.8
Aug 2016,60.4
Sep 2016,82.4
Oct 2016,33.4
Nov 2016,92.4
Dec 2016,70.2
Jan 2017,63
Feb 2017,108.8
Mar 2017,76.2
Apr 2017,23
May 2017,53.2
Jun 2017,152.2
Jul 2017,89.8
Aug 2017,95.6
Sep 2017,96.4
Oct 2017,103.2
Nov 2017,115.8
Dec 2017,106
Jan 2018,155.8
Feb 2018,65
Mar 2018,51.8
Apr 2018,64.8
May 2018,18.2
Jun 2018,56.2
Jul 2018,63.8
Aug 2018,68.4
Sep 2018,51.6
Oct 2018,77.8
Nov 2018,108.4
Dec 2018,71.4
Jan 2019,52.4
Feb 2019,51.2
Mar 2019,108
Apr 2019,41.6
May 2019,42.6
Jun 2019,48.2
Jul 2019,140
Aug 2019,150.6
Sep 2019,102.8
Oct 2019,98
Nov 2019,42.8
Dec 2019,111.8
Jan 2020,100.8
Feb 2020,160
Mar 2020,63.6
Apr 2020,9
May 2020,25.6
Jun 2020,108.8
Jul 2020,107.4
Aug 2020,124.4
Sep 2020,63.8
Oct 2020,131.8
Nov 2020,116.6
Dec 2020,94.4
Jan 2021,94.2
Feb 2021,69
Mar 2021,53.2
Apr 2021,9.2
May 2021,65
Jun 2021,29.6
Jul 2021,14
Aug 2021,64.8
Sep 2021,87.8
Oct 2021,145
Nov 2021,68.8
Dec 2021,87
Jan 2022,48.2
Feb 2022,140.6
Mar 2022,36.4
Apr 2022,51.2
May 2022,47.6
Jun 2022,49.6
Jul 2022,32.2
Aug 2022,50.8
Sep 2022,112.4
Oct 2022,125.2
Nov 2022,85.8
Dec 2022,78.2
Jan 2023,89.8
Feb 2023,30.2
Mar 2023,74.8
Apr 2023,44.2
May 2023,31.6
Jun 2023,61.6
Jul 2023,118.6
Aug 2023,35.6
Sep 2023,136.8
Oct 2023,93.4
Nov 2023,153.4
Dec 2023,174
Jan 2024,95.6
Feb 2024,114.8
Mar 2024,94
Apr 2024,120.2
May 2024,93.6
Jun 2024,65.2
Jul 2024,81.2
Aug 2024,202
Sep 2024,65.6
Oct 2024,67.6
Nov 2024,52.4
Dec 2024,115
Jan 2025,41.8
Feb 2025,60.4
Mar 2025,49.8
Apr 2025,25.4
May 2025,11.2
