Timestamp,Value
Sep 2015,0
Oct 2015,0
Nov 2015,55.4
Dec 2015,392.4
Jan 2016,238
Feb 2016,69.6
Mar 2016,44.8
Apr 2016,98.4
May 2016,83.2
Jun 2016,52
Jul 2016,114.8
Aug 2016,62.2
Sep 2016,116.4
Oct 2016,59
Nov 2016,79.6
Dec 2016,170.8
Jan 2017,56.8
Feb 2017,157.2
Mar 2017,146.4
Apr 2017,14.4
May 2017,53.8
Jun 2017,155.4
Jul 2017,99.2
Aug 2017,136.2
Sep 2017,103.8
Oct 2017,151.4
Nov 2017,78.6
Dec 2017,116.2
Jan 2018,125
Feb 2018,86.8
Mar 2018,92.2
Apr 2018,19.8
May 2018,13.2
Jun 2018,92.4
Jul 2018,65.4
Aug 2018,92.2
Sep 2018,161.4
Oct 2018,129.2
Nov 2018,246.6
Dec 2018,107.6
Jan 2019,55.4
Feb 2019,88
Mar 2019,192
Apr 2019,50
May 2019,106
Jun 2019,80
Jul 2019,113
Aug 2019,265.8
Sep 2019,152.6
Oct 2019,147.2
Nov 2019,94.8
Dec 2019,247.8
Jan 2020,218.8
Feb 2020,357.8
Mar 2020,136
Apr 2020,24.8
May 2020,54.8
Jun 2020,91.4
Jul 2020,94
Aug 2020,82.2
Sep 2020,131.4
Oct 2020,244.2
Nov 2020,155.8
Dec 2020,180.4
Jan 2021,84.2
Feb 2021,173.4
Mar 2021,140.2
Apr 2021,0
May 2021,111
Jun 2021,46.8
Jul 2021,111.2
Aug 2021,61.8
Sep 2021,106.6
Oct 2021,239.6
Nov 2021,104
Dec 2021,110.8
Jan 2022,112.6
Feb 2022,288.6
Mar 2022,38.2
Apr 2022,42.2
May 2022,102.4
Jun 2022,62.4
Jul 2022,51.4
Aug 2022,97.6
Sep 2022,141.4
Oct 2022,221.8
Nov 2022,201.2
Dec 2022,136.2
Jan 2023,206
Feb 2023,82.2
Mar 2023,155.6
Apr 2023,53.8
May 2023,38.4
Jun 2023,65.8
Jul 2023,118.8
Aug 2023,104.2
Sep 2023,168.8
Oct 2023,238.6
Nov 2023,102
Dec 2023,226
Jan 2024,178.2
Feb 2024,154
Mar 2024,144.2
Apr 2024,167
May 2024,81.6
Jun 2024,52.8
Jul 2024,50.8
Aug 2024,226.4
Sep 2024,54
Oct 2024,85.8
Nov 2024,78.4
Dec 2024,226.4
Jan 2025,80.4
Feb 2025,113.2
Mar 2025,71.4
Apr 2025,47.8
May 2025,69.8
Jun 2025,114.6
Jul 2025,53.6
Aug 2025,68.8
