Timestamp,Value
Jun 2015,111.6
Jul 2015,130.2
Aug 2015,153.6
Sep 2015,65
Oct 2015,110
Nov 2015,328.2
Dec 2015,518.8
Jan 2016,96.4
Feb 2016,215.2
Mar 2016,33.6
Apr 2016,34.4
May 2016,122.4
Jun 2016,103.4
Jul 2016,28.6
Aug 2016,123
Sep 2016,200.6
Oct 2016,68.2
Nov 2016,121
Dec 2016,271.6
Jan 2017,121.4
Feb 2017,214.8
Mar 2017,173.8
Apr 2017,100
May 2017,51.8
Jun 2017,186.2
Jul 2017,105.6
Aug 2017,155
Sep 2017,144
Oct 2017,262
Nov 2017,196.2
Dec 2017,232.4
Jan 2018,270.2
Feb 2018,143.8
Mar 2018,66.8
Apr 2018,97
May 2018,50.6
Jun 2018,92.4
Jul 2018,109
Aug 2018,97.8
Sep 2018,327.6
Oct 2018,233.4
Nov 2018,158.2
Dec 2018,160.2
Jan 2019,172.4
Feb 2019,148.6
Mar 2019,272.6
Apr 2019,50.4
May 2019,116
Jun 2019,130.8
Jul 2019,128.4
Aug 2019,257.6
Sep 2019,128.4
Oct 2019,210.2
Nov 2019,44.4
Dec 2019,275.4
Jan 2020,422.8
Feb 2020,448.2
Mar 2020,219.4
Apr 2020,43
May 2020,116.6
Jun 2020,162.4
Jul 2020,132.2
Aug 2020,87.2
Sep 2020,228.8
Oct 2020,273.4
Nov 2020,280.4
Dec 2020,301
Jan 2021,171.4
Feb 2021,151.2
Mar 2021,257.8
Apr 2021,55
May 2021,106.2
Jun 2021,50.4
Jul 2021,80.6
Aug 2021,93.4
Sep 2021,108
Oct 2021,245.2
Nov 2021,242.8
Dec 2021,178
Jan 2022,274.6
Feb 2022,377.8
Mar 2022,79
Apr 2022,92
May 2022,161.6
Jun 2022,98.2
Jul 2022,101.8
Aug 2022,85.6
Sep 2022,98.2
Oct 2022,352.2
Nov 2022,242.6
Dec 2022,145.6
Jan 2023,275.4
Feb 2023,182.6
Mar 2023,113.4
Apr 2023,80
May 2023,22.4
Jun 2023,96
Jul 2023,162.8
Aug 2023,130.8
Sep 2023,46.6
Oct 2023,244
Nov 2023,152.6
Dec 2023,327.2
Jan 2024,241.2
Feb 2024,345.6
Mar 2024,116.8
Apr 2024,164.8
May 2024,44.2
Jun 2024,133
Jul 2024,104.4
Aug 2024,306.8
Sep 2024,93.2
Oct 2024,168.6
Nov 2024,127.2
Dec 2024,465.6
Jan 2025,101
Feb 2025,189.8
Mar 2025,131.8
Apr 2025,29
May 2025,0.2
