Timestamp,Value
Jun 2015,72
Jul 2015,177.4
Aug 2015,133
Sep 2015,30.2
Oct 2015,82
Nov 2015,303.2
Dec 2015,490.8
Jan 2016,284
Feb 2016,200
Mar 2016,79.6
Apr 2016,91.6
May 2016,49.8
Jun 2016,98
Jul 2016,127.8
Aug 2016,128.4
Sep 2016,139
Oct 2016,57.8
Nov 2016,111.2
Dec 2016,107.4
Jan 2017,64
Feb 2017,174.2
Mar 2017,162.2
Apr 2017,26
May 2017,83
Jun 2017,168.4
Jul 2017,159.6
Aug 2017,172.4
Sep 2017,146.2
Oct 2017,171
Nov 2017,109.8
Dec 2017,114.2
Jan 2018,210.8
Feb 2018,82.6
Mar 2018,72.6
Apr 2018,122.2
May 2018,47
Jun 2018,80.6
Jul 2018,116.6
Aug 2018,109.2
Sep 2018,138
Oct 2018,144.6
Nov 2018,224.4
Dec 2018,114.8
Jan 2019,45.8
Feb 2019,133.2
Mar 2019,250.6
Apr 2019,56.2
May 2019,61.2
Jun 2019,105.2
Jul 2019,127.6
Aug 2019,241
Sep 2019,143
Oct 2019,107.8
Nov 2019,105.4
Dec 2019,109.8
Jan 2020,195.4
Feb 2020,366.4
Mar 2020,122
Apr 2020,13.2
May 2020,36.4
Jun 2020,178.6
Jul 2020,162.2
Aug 2020,173.4
Sep 2020,78.8
Oct 2020,180.4
Nov 2020,154.2
Dec 2020,195
Jan 2021,104.6
Feb 2021,218.8
Mar 2021,163.2
Apr 2021,9.8
May 2021,131.2
Jun 2021,24.4
Jul 2021,72.8
Aug 2021,84.2
Sep 2021,98.4
Oct 2021,268.4
Nov 2021,87.2
Dec 2021,98.4
Jan 2022,67
Feb 2022,234.6
Mar 2022,66.2
Apr 2022,45
May 2022,116.8
Jun 2022,75
Jul 2022,76.8
Aug 2022,66.4
Sep 2022,127.2
Oct 2022,258.6
Nov 2022,177
Dec 2022,196.6
Jan 2023,196.2
Feb 2023,53.8
Mar 2023,205.2
Apr 2023,46.4
May 2023,26.6
Jun 2023,89.8
Jul 2023,210
Aug 2023,105.8
Sep 2023,156.4
Oct 2023,130.2
Nov 2023,101.6
Dec 2023,279.6
Jan 2024,207.4
Feb 2024,133.2
Mar 2024,136.4
Apr 2024,173.2
May 2024,115
Jun 2024,78.4
Jul 2024,70.6
Aug 2024,276.4
Sep 2024,54.4
Oct 2024,158.8
Nov 2024,69.4
Dec 2024,170
Jan 2025,80.4
Feb 2025,104.4
Mar 2025,47.2
Apr 2025,24.6
May 2025,7.2
