Timestamp,Value
Jun 2015,93.8
Jul 2015,209.6
Aug 2015,81.8
Sep 2015,40
Oct 2015,100.8
Nov 2015,371.4
Dec 2015,383.4
Jan 2016,267.2
Feb 2016,187.4
Mar 2016,57.4
Apr 2016,51.2
May 2016,93.8
Jun 2016,98.6
Jul 2016,147.2
Aug 2016,106.2
Sep 2016,200.4
Oct 2016,87
Nov 2016,108.4
Dec 2016,137.2
Jan 2017,68
Feb 2017,176.2
Mar 2017,135.8
Apr 2017,20.4
May 2017,71.2
Jun 2017,193.2
Jul 2017,125.2
Aug 2017,158.8
Sep 2017,123.2
Oct 2017,179
Nov 2017,112.2
Dec 2017,144
Jan 2018,237.2
Feb 2018,78.4
Mar 2018,110.6
Apr 2018,78.4
May 2018,29.6
Jun 2018,92.8
Jul 2018,57.4
Aug 2018,138.2
Sep 2018,165.8
Oct 2018,166.2
Nov 2018,196
Dec 2018,136.4
Jan 2019,51.6
Feb 2019,102
Mar 2019,187.2
Apr 2019,45.6
May 2019,92.4
Jun 2019,105
Jul 2019,136.6
Aug 2019,216.4
Sep 2019,167.6
Oct 2019,145.2
Nov 2019,104.4
Dec 2019,276
Jan 2020,272.6
Feb 2020,435.6
Mar 2020,157
Apr 2020,19.6
May 2020,55.8
Jun 2020,207.8
Jul 2020,229
Aug 2020,229.2
Sep 2020,140.4
Oct 2020,214.6
Nov 2020,198.4
Dec 2020,183.4
Jan 2021,138.6
Feb 2021,132.8
Mar 2021,154.6
Apr 2021,13.2
May 2021,86
Jun 2021,21.4
Jul 2021,50.8
Aug 2021,75.4
Sep 2021,134.6
Oct 2021,265.2
Nov 2021,114.6
Dec 2021,128.6
Jan 2022,101.4
Feb 2022,313.6
Mar 2022,40.4
Apr 2022,55
May 2022,108.4
Jun 2022,63.6
Jul 2022,59.6
Aug 2022,142.6
Sep 2022,154.2
Oct 2022,234.8
Nov 2022,167
Dec 2022,178
Jan 2023,214
Feb 2023,92
Mar 2023,190.6
Apr 2023,58
May 2023,37.2
Jun 2023,72.8
Jul 2023,177.4
Aug 2023,83
Sep 2023,174.6
Oct 2023,211
Nov 2023,120
Dec 2023,260.2
Jan 2024,212
Feb 2024,151.4
Mar 2024,145.4
Apr 2024,184.6
May 2024,105.6
Jun 2024,72.2
Jul 2024,79.6
Aug 2024,285.6
Sep 2024,75.2
Oct 2024,102.8
Nov 2024,61.2
Dec 2024,225.6
Jan 2025,80.4
Feb 2025,107.2
Mar 2025,88.8
Apr 2025,59.4
May 2025,0.2
