Timestamp,Value
Jun 2015,82
Jul 2015,204.4
Aug 2015,136.8
Sep 2015,47.4
Oct 2015,102.2
Nov 2015,357
Dec 2015,539.8
Jan 2016,345.2
Feb 2016,199.4
Mar 2016,135.8
Apr 2016,113.2
May 2016,65
Jun 2016,71
Jul 2016,147.2
Aug 2016,119.4
Sep 2016,183.8
Oct 2016,60.2
Nov 2016,95.4
Dec 2016,133.2
Jan 2017,74.2
Feb 2017,191.6
Mar 2017,162.6
Apr 2017,0
May 2017,20.8
Jun 2017,168.2
Jul 2017,131.2
Aug 2017,164.8
Sep 2017,143.8
Oct 2017,173.6
Nov 2017,118
Dec 2017,117.4
Jan 2018,240.4
Feb 2018,67.8
Mar 2018,123.2
Apr 2018,126.4
May 2018,58.2
Jun 2018,121.2
Jul 2018,73
Aug 2018,116
Sep 2018,157.4
Oct 2018,115.4
Nov 2018,266.4
Dec 2018,143.6
Jan 2019,51.2
Feb 2019,125.2
Mar 2019,234.8
Apr 2019,77.8
May 2019,72.6
Jun 2019,97.6
Jul 2019,124.6
Aug 2019,189.4
Sep 2019,168.4
Oct 2019,118.6
Nov 2019,128.6
Dec 2019,185.8
Jan 2020,204.6
Feb 2020,380.4
Mar 2020,135.8
Apr 2020,14.6
May 2020,67
Jun 2020,184.4
Jul 2020,134.6
Aug 2020,175.6
Sep 2020,90.2
Oct 2020,199.4
Nov 2020,196.2
Dec 2020,246.8
Jan 2021,126.6
Feb 2021,293.6
Mar 2021,187.2
Apr 2021,19.8
May 2021,140.4
Jun 2021,20.6
Jul 2021,39.2
Aug 2021,113
Sep 2021,93.2
Oct 2021,342.6
Nov 2021,119.8
Dec 2021,131.2
Jan 2022,75.6
Feb 2022,317.6
Mar 2022,92
Apr 2022,58.6
May 2022,103.2
Jun 2022,69.2
Jul 2022,90.6
Aug 2022,65.6
Sep 2022,148.2
Oct 2022,310.2
Nov 2022,261.6
Dec 2022,227
Jan 2023,209.4
Feb 2023,54.4
Mar 2023,196
Apr 2023,60.8
May 2023,43.4
Jun 2023,45.8
Jul 2023,206.4
Aug 2023,164.4
Sep 2023,227.2
Oct 2023,180.6
Nov 2023,145.6
Dec 2023,310
Jan 2024,209
Feb 2024,145
Mar 2024,184
Apr 2024,190.2
May 2024,131.4
Jun 2024,65.2
Jul 2024,82.8
Aug 2024,267.6
Sep 2024,68.2
Oct 2024,123.4
Nov 2024,94.4
Dec 2024,204.2
Jan 2025,90.4
Feb 2025,131.2
Mar 2025,50.8
Apr 2025,18.6
May 2025,7.8
