Timestamp,Value
Jun 2015,59.4
Jul 2015,81.6
Aug 2015,67.6
Sep 2015,63.4
Oct 2015,36
Nov 2015,53
Dec 2015,112.8
Jan 2016,236
Feb 2016,62
Mar 2016,68.4
Apr 2016,92
May 2016,27.4
Jun 2016,97.4
Jul 2016,96.6
Aug 2016,73.2
Sep 2016,48.2
Oct 2016,107.2
Nov 2016,108.4
Dec 2016,50
Jan 2017,67.2
Feb 2017,43.6
Mar 2017,47.8
Apr 2017,60.2
May 2017,26
Jun 2017,128.8
Jul 2017,56.2
Aug 2017,80
Sep 2017,158.4
Oct 2017,78.4
Nov 2017,137.2
Dec 2017,35.4
Jan 2018,45.8
Feb 2018,35
Mar 2018,67
Apr 2018,41.2
May 2018,31
Jun 2018,61.4
Jul 2018,41.4
Aug 2018,42.8
Sep 2018,79
Oct 2018,96.6
Nov 2018,81.4
Dec 2018,55.4
Jan 2019,66.6
Feb 2019,31.8
Mar 2019,87
Apr 2019,63
May 2019,178.2
Jun 2019,84.6
Jul 2019,83.8
Aug 2019,129.4
Sep 2019,105
Oct 2019,89.6
Nov 2019,189.4
Dec 2019,67
Jan 2020,45.8
Feb 2020,105.2
Mar 2020,27
Apr 2020,25
May 2020,52.4
Jun 2020,107
Jul 2020,104.4
Aug 2020,58.8
Sep 2020,75.6
Oct 2020,236.4
Nov 2020,39
Dec 2020,171.6
Jan 2021,62.8
Feb 2021,33
Mar 2021,50
Apr 2021,42
May 2021,148
Jun 2021,20.4
Jul 2021,91.2
Aug 2021,86.2
Sep 2021,79.8
Oct 2021,142.2
Nov 2021,122.8
Dec 2021,82.2
Jan 2022,33.8
Feb 2022,67
Mar 2022,52.2
Apr 2022,94.2
May 2022,92.6
Jun 2022,28.6
Jul 2022,68.8
Aug 2022,66.2
Sep 2022,184.8
Oct 2022,90
Nov 2022,194.8
Dec 2022,58.8
Jan 2023,86
Feb 2023,53.2
Mar 2023,92.8
Apr 2023,73.2
May 2023,29.6
Jun 2023,46.4
Jul 2023,99.8
Aug 2023,79.8
Sep 2023,100.6
Oct 2023,256
Nov 2023,107
Dec 2023,136
Jan 2024,105.8
Feb 2024,75.6
Mar 2024,96.8
Apr 2024,119.4
May 2024,66.2
Jun 2024,103.8
Jul 2024,124.2
Aug 2024,45.2
Sep 2024,98.8
Oct 2024,80.6
Nov 2024,50.8
Dec 2024,175.8
Jan 2025,66
Feb 2025,29.4
Mar 2025,40
Apr 2025,15
May 2025,16.4
