Timestamp,Value
Jun 2015,63.8
Jul 2015,77.6
Aug 2015,44.6
Sep 2015,20.6
Oct 2015,35.2
Nov 2015,251.6
Dec 2015,192
Jan 2016,172.2
Feb 2016,144
Mar 2016,42.8
Apr 2016,77.8
May 2016,52
Jun 2016,61
Jul 2016,141
Aug 2016,69.2
Sep 2016,106.2
Oct 2016,36.6
Nov 2016,72
Dec 2016,85
Jan 2017,45.2
Feb 2017,137.6
Mar 2017,108.4
Apr 2017,19.4
May 2017,50.2
Jun 2017,160.8
Jul 2017,105
Aug 2017,119.4
Sep 2017,92.4
Oct 2017,120
Nov 2017,77
Dec 2017,106
Jan 2018,143.6
Feb 2018,62.2
Mar 2018,79.6
Apr 2018,83.4
May 2018,23.2
Jun 2018,82.2
Jul 2018,52.4
Aug 2018,90.8
Sep 2018,119
Oct 2018,72.8
Nov 2018,133.2
Dec 2018,91.8
Jan 2019,42.4
Feb 2019,54.6
Mar 2019,134.2
Apr 2019,45
May 2019,110.2
Jun 2019,62.4
Jul 2019,97.6
Aug 2019,175.8
Sep 2019,112.8
Oct 2019,115.6
Nov 2019,69.4
Dec 2019,135.2
Jan 2020,116.6
Feb 2020,226.8
Mar 2020,74.6
Apr 2020,14.8
May 2020,44.4
Jun 2020,142.4
Jul 2020,152
Aug 2020,189.8
Sep 2020,100.8
Oct 2020,133.2
Nov 2020,116
Dec 2020,131.6
Jan 2021,111.2
Feb 2021,91.6
Mar 2021,87
Apr 2021,24
May 2021,92.6
Jun 2021,29.6
Jul 2021,37.4
Aug 2021,132.6
Sep 2021,122
Oct 2021,191.2
Nov 2021,77
Dec 2021,96
Jan 2022,79
Feb 2022,191
Mar 2022,35.2
Apr 2022,39
May 2022,65.4
Jun 2022,46.8
Jul 2022,43.8
Aug 2022,86
Sep 2022,101.6
Oct 2022,161.2
Nov 2022,103
Dec 2022,121.8
Jan 2023,98.2
Feb 2023,54.8
Mar 2023,108.6
Apr 2023,56.2
May 2023,31
Jun 2023,65.4
Jul 2023,132.2
Aug 2023,80.6
Sep 2023,117.4
Oct 2023,159.4
Nov 2023,72.2
Dec 2023,200.6
Jan 2024,113.2
Feb 2024,98.4
Mar 2024,118.4
Apr 2024,135.2
May 2024,99
Jun 2024,61.8
Jul 2024,65.2
Aug 2024,172
Sep 2024,80.8
Oct 2024,81
Nov 2024,38.4
Dec 2024,98
Jan 2025,55.6
Feb 2025,63.8
Mar 2025,51.8
Apr 2025,45.2
May 2025,9.8
