Timestamp,Value
Sep 2015,45.8
Oct 2015,158.2
Nov 2015,369.4
Dec 2015,297.4
Jan 2016,281.6
Feb 2016,243.2
Mar 2016,110.4
Apr 2016,134
May 2016,133.4
Jun 2016,85.6
Jul 2016,140.6
Aug 2016,167
Sep 2016,181.4
Oct 2016,75.4
Nov 2016,161.8
Dec 2016,140.6
Jan 2017,177.2
Feb 2017,239
Mar 2017,206.2
Apr 2017,57.6
May 2017,77.4
Jun 2017,212.4
Jul 2017,150
Aug 2017,208
Sep 2017,205.6
Oct 2017,307.2
Nov 2017,179.6
Dec 2017,178.6
Jan 2018,267.2
Feb 2018,114
Mar 2018,118.2
Apr 2018,105.4
May 2018,64.8
Jun 2018,69.8
Jul 2018,95.6
Aug 2018,181
Sep 2018,181
Oct 2018,191
Nov 2018,207.6
Dec 2018,184.8
Jan 2019,121
Feb 2019,135.4
Mar 2019,203.2
Apr 2019,64.4
May 2019,127.6
Jun 2019,122
Jul 2019,155.8
Aug 2019,304.2
Sep 2019,225.8
Oct 2019,224.2
Nov 2019,132.6
Dec 2019,304.6
Jan 2020,210
Feb 2020,407
Mar 2020,132.2
Apr 2020,25
May 2020,75.2
Jun 2020,200
Jul 2020,243.6
Aug 2020,197.4
Sep 2020,230.6
Oct 2020,298.2
Nov 2020,236
Dec 2020,213
Jan 2021,166.6
Feb 2021,189.2
Mar 2021,149
Apr 2021,22.6
May 2021,102.6
Jun 2021,59.6
Jul 2021,40
Aug 2021,142.8
Sep 2021,146.2
Oct 2021,289.4
Nov 2021,157
Dec 2021,183.8
Jan 2022,165.2
Feb 2022,287.2
Mar 2022,70.6
Apr 2022,107.6
May 2022,151.4
Jun 2022,128.6
Jul 2022,106
Aug 2022,105.2
Sep 2022,185.6
Oct 2022,316.8
Nov 2022,185.6
Dec 2022,175
Jan 2023,289.6
Feb 2023,85
Mar 2023,228.2
Apr 2023,100
May 2023,59.8
Jun 2023,140
Jul 2023,221.4
Aug 2023,114.8
Sep 2023,183.8
Oct 2023,166.4
Nov 2023,149.4
Dec 2023,400.2
Jan 2024,149
Feb 2024,191
Mar 2024,153.4
Apr 2024,194.4
May 2024,110
Jun 2024,82.6
Jul 2024,110.2
Aug 2024,399.8
Sep 2024,74.8
Oct 2024,151.2
Nov 2024,97.4
Dec 2024,245.6
Jan 2025,82.8
Feb 2025,131.6
Mar 2025,77.4
Apr 2025,72.2
May 2025,172.6
Jun 2025,152.6
Jul 2025,113
Aug 2025,107.2
