Timestamp,Value
Jun 2015,60.2
Jul 2015,128.6
Aug 2015,107.4
Sep 2015,41.4
Oct 2015,56
Nov 2015,221.2
Dec 2015,289.2
Jan 2016,155.2
Feb 2016,118
Mar 2016,46.8
Apr 2016,68
May 2016,47.2
Jun 2016,67
Jul 2016,134.6
Aug 2016,82.4
Sep 2016,108.2
Oct 2016,35
Nov 2016,64
Dec 2016,80.4
Jan 2017,56.2
Feb 2017,103
Mar 2017,123
Apr 2017,18
May 2017,79.4
Jun 2017,131.8
Jul 2017,159
Aug 2017,132.8
Sep 2017,96.2
Oct 2017,121
Nov 2017,91
Dec 2017,90.4
Jan 2018,118.8
Feb 2018,60
Mar 2018,73.2
Apr 2018,73.8
May 2018,38.4
Jun 2018,76.4
Jul 2018,43
Aug 2018,154.6
Sep 2018,121.6
Oct 2018,109
Nov 2018,114.8
Dec 2018,94
Jan 2019,47.2
Feb 2019,95
Mar 2019,162.4
Apr 2019,33.2
May 2019,77.6
Jun 2019,63.4
Jul 2019,130
Aug 2019,195.6
Sep 2019,168.6
Oct 2019,78
Nov 2019,56.4
Dec 2019,80.6
Jan 2020,118.4
Feb 2020,202.2
Mar 2020,83.4
Apr 2020,8.2
May 2020,22
Jun 2020,135.4
Jul 2020,178.2
Aug 2020,181.6
Sep 2020,90.6
Oct 2020,168.4
Nov 2020,112.2
Dec 2020,104
Jan 2021,109.2
Feb 2021,115.6
Mar 2021,90.8
Apr 2021,9.4
May 2021,85.8
Jun 2021,19.6
Jul 2021,43
Aug 2021,84.2
Sep 2021,67.8
Oct 2021,217.6
Nov 2021,76
Dec 2021,106.6
Jan 2022,47.4
Feb 2022,159.8
Mar 2022,43.2
Apr 2022,43.8
May 2022,84.4
Jun 2022,55.8
Jul 2022,86.8
Aug 2022,83.6
Sep 2022,96.4
Oct 2022,188.6
Nov 2022,129.6
Dec 2022,111.4
Jan 2023,136.2
Feb 2023,48
Mar 2023,146.2
Apr 2023,59.2
May 2023,39.4
Jun 2023,95
Jul 2023,166.6
Aug 2023,77.7
Sep 2023,137.8
Oct 2023,88.8
Nov 2023,88.8
Dec 2023,170
Jan 2024,143.8
Feb 2024,125.4
Mar 2024,104.4
Apr 2024,117.2
May 2024,105.6
Jun 2024,83
Jul 2024,84
Aug 2024,210.4
Sep 2024,60.4
Oct 2024,108.4
Nov 2024,54.2
Dec 2024,114
Jan 2025,51.4
Feb 2025,52
Mar 2025,28.6
Apr 2025,27
May 2025,0
