Timestamp,Value
Sep 2015,49.6
Oct 2015,77.2
Nov 2015,234
Dec 2015,350
Jan 2016,210
Feb 2016,148
Mar 2016,65.8
Apr 2016,85.6
May 2016,78.8
Jun 2016,92.2
Jul 2016,103
Aug 2016,84
Sep 2016,132
Oct 2016,55
Nov 2016,66.6
Dec 2016,94.6
Jan 2017,69.2
Feb 2017,136.8
Mar 2017,95.4
Apr 2017,21.2
May 2017,51.8
Jun 2017,148.4
Jul 2017,99.4
Aug 2017,127.6
Sep 2017,105
Oct 2017,100.6
Nov 2017,100.4
Dec 2017,85.6
Jan 2018,196.8
Feb 2018,65
Mar 2018,47.6
Apr 2018,81.2
May 2018,36.2
Jun 2018,70
Jul 2018,88
Aug 2018,72.6
Sep 2018,105.6
Oct 2018,105.8
Nov 2018,210.6
Dec 2018,124.2
Jan 2019,38.6
Feb 2019,87.4
Mar 2019,186
Apr 2019,47.6
May 2019,51.8
Jun 2019,86.8
Jul 2019,112.2
Aug 2019,187.2
Sep 2019,145.2
Oct 2019,94
Nov 2019,79.6
Dec 2019,157.4
Jan 2020,165.4
Feb 2020,277.4
Mar 2020,82.8
Apr 2020,13.4
May 2020,36.4
Jun 2020,155.4
Jul 2020,125.2
Aug 2020,144.8
Sep 2020,79.8
Oct 2020,149.4
Nov 2020,143
Dec 2020,168.4
Jan 2021,74
Feb 2021,159.8
Mar 2021,118.2
Apr 2021,9.8
May 2021,104
Jun 2021,27.2
Jul 2021,32.2
Aug 2021,72.8
Sep 2021,95.4
Oct 2021,255.4
Nov 2021,78.4
Dec 2021,107.4
Jan 2022,58.4
Feb 2022,203
Mar 2022,87.6
Apr 2022,43.6
May 2022,65.6
Jun 2022,84.2
Jul 2022,65.4
Aug 2022,59
Sep 2022,133.4
Oct 2022,204.4
Nov 2022,190.4
Dec 2022,156.6
Jan 2023,139.8
Feb 2023,40.2
Mar 2023,123.4
Apr 2023,50.4
May 2023,38.2
Jun 2023,41.6
Jul 2023,174.4
Aug 2023,66
Sep 2023,183.4
Oct 2023,71.8
Nov 2023,112.4
Dec 2023,209.8
Jan 2024,120.2
Feb 2024,92.8
Mar 2024,110.8
Apr 2024,117.2
May 2024,90.2
Jun 2024,51.4
Jul 2024,48.8
Aug 2024,188
Sep 2024,41.6
Oct 2024,82.2
Nov 2024,61
Dec 2024,127.2
Jan 2025,75.6
Feb 2025,111.6
Mar 2025,36.4
Apr 2025,31.2
May 2025,66.2
Jun 2025,83.8
Jul 2025,74.4
Aug 2025,62.8
