Timestamp,Value
Jun 2015,53.6
Jul 2015,204.8
Aug 2015,130.6
Sep 2015,56
Oct 2015,151.6
Nov 2015,84.2
Dec 2015,201.4
Jan 2016,417.6
Feb 2016,57.6
Mar 2016,82
Apr 2016,123.6
May 2016,41.8
Jun 2016,144.8
Jul 2016,46.2
Aug 2016,68.2
Sep 2016,52.8
Oct 2016,131.2
Nov 2016,51
Dec 2016,42.4
Jan 2017,62.4
Feb 2017,146.2
Mar 2017,63.6
Apr 2017,38.6
May 2017,36.4
Jun 2017,165.2
Jul 2017,87.2
Aug 2017,102.2
Sep 2017,130.2
Oct 2017,73.2
Nov 2017,108.6
Dec 2017,60
Jan 2018,64.2
Feb 2018,57.4
Mar 2018,137.2
Apr 2018,67
May 2018,45
Jun 2018,31.8
Jul 2018,80.8
Aug 2018,64.8
Sep 2018,53.4
Oct 2018,127.6
Nov 2018,206.2
Dec 2018,108.2
Jan 2019,56.6
Feb 2019,44.6
Mar 2019,75.4
Apr 2019,65
May 2019,85.2

Jul 2019,0.2
Aug 2019,138
Sep 2019,111.2
Oct 2019,87
Nov 2019,248.2
Dec 2019,88.8
Jan 2020,42.6
Feb 2020,146.8
Mar 2020,41
Apr 2020,22.8
May 2020,39.6
Jun 2020,71
Jul 2020,100
Aug 2020,104.6
Sep 2020,41.4
Oct 2020,262.8
Nov 2020,72.4
Dec 2020,282.4
Jan 2021,91.8
Feb 2021,152.4
Mar 2021,73.2
Apr 2021,0



Aug 2021,14.4
Sep 2021,74.8
Oct 2021,171.6
Nov 2021,59.6
Dec 2021,135.4
Jan 2022,29
Feb 2022,66.8
Mar 2022,106.4
Apr 2022,49.4
May 2022,72.4
Jun 2022,26.2
Jul 2022,62.2
Aug 2022,53.4
Sep 2022,177.6
Oct 2022,131.6
Nov 2022,376.8
Dec 2022,118.4
Jan 2023,68.2
Feb 2023,38.4
Mar 2023,0.2
Apr 2023,11.8
May 2023,34.2
Jun 2023,39
Jul 2023,142
Aug 2023,94
Sep 2023,129.8
Oct 2023,407.2
Nov 2023,147.8
Dec 2023,356.2
Jan 2024,147.6
Feb 2024,75
Mar 2024,143.2
Apr 2024,153.2
May 2024,100.6
Jun 2024,52.2
Jul 2024,103.2
Aug 2024,93.8
Sep 2024,49.6
Oct 2024,106.2
Nov 2024,19.6
Dec 2024,149
Jan 2025,62
Feb 2025,107.4
Mar 2025,45.8
Apr 2025,29.4
May 2025,10.2
