Timestamp,Value
Sep 2015,29
Oct 2015,37.8
Nov 2015,141.6
Dec 2015,209.8
Jan 2016,116.6
Feb 2016,13
Mar 2016,26.8
Apr 2016,66.2
May 2016,21.2
Jun 2016,61.2
Jul 2016,77.4
Aug 2016,51.2
Sep 2016,73.4
Oct 2016,49.4
Nov 2016,92.8
Dec 2016,51.8
Jan 2017,26.2
Feb 2017,100.6
Mar 2017,93.8
Apr 2017,16.4
May 2017,34.2
Jun 2017,109.4
Jul 2017,92.2
Aug 2017,62
Sep 2017,91.4
Oct 2017,58.2
Nov 2017,59
Dec 2017,51.6
Jan 2018,110.8
Feb 2018,53.4
Mar 2018,58.8
Apr 2018,73.4
May 2018,22.2
Jun 2018,54
Jul 2018,49
Aug 2018,40
Sep 2018,81.2
Oct 2018,69.2
Nov 2018,110.8
Dec 2018,44
Jan 2019,11.6
Feb 2019,47
Mar 2019,112.8
Apr 2019,37.4
May 2019,32.4
Jun 2019,98.2
Jul 2019,92.8
Aug 2019,161
Sep 2019,72
Oct 2019,62
Nov 2019,91.2
Dec 2019,58.2
Jan 2020,79.6
Feb 2020,197.4
Mar 2020,56.6
Apr 2020,6.4
May 2020,20.4
Jun 2020,100.4
Jul 2020,72
Aug 2020,102.2
Sep 2020,34.8
Oct 2020,153.8
Nov 2020,63
Dec 2020,137.6
Jan 2021,102.4
Feb 2021,112.8
Mar 2021,80
Apr 2021,10
May 2021,94.4
Jun 2021,24.4
Jul 2021,54.4
Aug 2021,41.4
Sep 2021,43
Oct 2021,168.2
Nov 2021,40.2
Dec 2021,63.6
Jan 2022,23.8
Feb 2022,100
Mar 2022,48.4
Apr 2022,25.8
May 2022,57.2
Jun 2022,26.8
Jul 2022,39.2
Aug 2022,33.6
Sep 2022,108.6
Oct 2022,131.6
Nov 2022,103.2
Dec 2022,128.2
Jan 2023,78.4
Feb 2023,25
Mar 2023,103.8
Apr 2023,38.8
May 2023,40.2
Jun 2023,47.2
Jul 2023,98.4
Aug 2023,101.2
Sep 2023,100.4
Oct 2023,107.6
Nov 2023,79.2
Dec 2023,150
Jan 2024,138
Feb 2024,52.2
Mar 2024,21
Apr 2024,99.2
May 2024,73.4
Jun 2024,0
Jul 2024,20.4
Aug 2024,20.6
Sep 2024,0
Oct 2024,20.6
Dec 2024,14.8
Jan 2025,0.6
Feb 2025,57.8
Mar 2025,27
Apr 2025,16.6
May 2025,48.8
Jun 2025,102.4
Jul 2025,86
Aug 2025,22
