Timestamp,Value
Jun 2015,49.4
Jul 2015,148.4
Aug 2015,99
Sep 2015,52.2
Oct 2015,87.2
Nov 2015,81.6
Dec 2015,126.2
Jan 2016,146.4
Feb 2016,42.8
Mar 2016,42
Apr 2016,104.8
May 2016,27.2
Jun 2016,147.2
Jul 2016,105.4
Aug 2016,51.4
Sep 2016,29.8
Oct 2016,83.2
Nov 2016,66.6
Dec 2016,35.4
Jan 2017,63.6
Feb 2017,87.6
Mar 2017,72.2
Apr 2017,34.4
May 2017,29.6
Jun 2017,164.4
Jul 2017,102.8
Aug 2017,119.8
Sep 2017,94.8
Oct 2017,65
Nov 2017,108.6
Dec 2017,58.4
Jan 2018,39.6
Feb 2018,42.2
Mar 2018,93.4
Apr 2018,55
May 2018,28.6
Jun 2018,41.4
Jul 2018,67.4
Aug 2018,50
Sep 2018,46.8
Oct 2018,96.2
Nov 2018,119.4
Dec 2018,63
Jan 2019,32.8
Feb 2019,24.4
Mar 2019,53.2
Apr 2019,50.6
May 2019,96
Jun 2019,93.2
Jul 2019,75.2
Aug 2019,89.8
Sep 2019,84.2
Oct 2019,92
Nov 2019,163.8
Dec 2019,70.2
Jan 2020,17.6
Feb 2020,93.6
Mar 2020,16.8
Apr 2020,12.2
May 2020,40.2
Jun 2020,61.6
Jul 2020,147
Aug 2020,143.2
Sep 2020,18.8
Oct 2020,189.2
Nov 2020,40.8
Dec 2020,160.2
Jan 2021,72.2
Feb 2021,58.6
Mar 2021,35.6
Apr 2021,25.2
May 2021,137.4
Jun 2021,23.2
Jul 2021,85.4
Aug 2021,49.2
Sep 2021,49.8
Oct 2021,141
Nov 2021,53.4
Dec 2021,93.4
Jan 2022,17.6
Feb 2022,60.4
Mar 2022,50
Apr 2022,55.2
May 2022,44.6
Jun 2022,24
Jul 2022,51.4
Aug 2022,37.2
Sep 2022,113.6
Oct 2022,108.6
Nov 2022,139.4
Dec 2022,104
Jan 2023,56
Feb 2023,27
Mar 2023,76.2
Apr 2023,50.8
May 2023,38.6
Jun 2023,70.8
Jul 2023,142
Aug 2023,66
Sep 2023,79.6
Oct 2023,168.8
Nov 2023,118.8
Dec 2023,207
Jan 2024,74.6
Feb 2024,53
Mar 2024,81.2
Apr 2024,134.8
May 2024,45.4
Jun 2024,48.8
Jul 2024,83.4
Aug 2024,81.8
Sep 2024,49.4
Oct 2024,89.8
Nov 2024,21.6
Dec 2024,114.4
Jan 2025,40.4
Feb 2025,37.2
Mar 2025,37.4
Apr 2025,16.6
May 2025,2.6
