Timestamp,Value
Jun 2015,54.6
Jul 2015,161
Aug 2015,120.6
Sep 2015,78.2
Oct 2015,108
Nov 2015,91.8
Dec 2015,152.2
Jan 2016,254.8
Feb 2016,68.2
Mar 2016,57.2
Apr 2016,128.4
May 2016,43.2
Jun 2016,163.4
Jul 2016,83
Aug 2016,69
Sep 2016,37.6
Oct 2016,107.8
Nov 2016,75.4
Dec 2016,44.2
Jan 2017,69.2
Feb 2017,117.4
Mar 2017,79.8
Apr 2017,57
May 2017,27.6
Jun 2017,160.2
Jul 2017,104
Aug 2017,124
Sep 2017,88.2
Oct 2017,74
Nov 2017,106.2
Dec 2017,63
Jan 2018,57.4
Feb 2018,52.2
Mar 2018,173.2
Apr 2018,68.6
May 2018,32.2
Jun 2018,32.8
Jul 2018,64.4
Aug 2018,54.6
Sep 2018,44.8
Oct 2018,109.4
Nov 2018,153.8
Dec 2018,72.8
Jan 2019,55.6
Feb 2019,29.6
Mar 2019,64.4
Apr 2019,59.2
May 2019,118.6
Jun 2019,88.8
Jul 2019,59.2
Aug 2019,51.2
Sep 2019,95.2
Oct 2019,92.4
Nov 2019,223.6
Dec 2019,76.8
Jan 2020,26.4
Feb 2020,112.6
Mar 2020,33.8
Apr 2020,17.6
May 2020,52.2
Jun 2020,60.2
Jul 2020,131.4
Aug 2020,127
Sep 2020,28.4
Oct 2020,241.2
Nov 2020,54.8
Dec 2020,222
Jan 2021,101.2
Feb 2021,125.8
Mar 2021,45.2
Apr 2021,30.4
May 2021,186
Jun 2021,21.8
Jul 2021,90
Aug 2021,98.6
Sep 2021,64.6
Oct 2021,159.6
Nov 2021,77.4
Dec 2021,99
Jan 2022,28.8
Feb 2022,81.8
Mar 2022,67.2
Apr 2022,60.4
May 2022,52.4
Jun 2022,31
Jul 2022,72
Aug 2022,49.6
Sep 2022,147
Oct 2022,110
Nov 2022,271
Dec 2022,131.2
Jan 2023,58.6
Feb 2023,38.2
Mar 2023,93.2
Apr 2023,73
May 2023,38.2
Jun 2023,38.8
Jul 2023,178
Aug 2023,94.8
Sep 2023,96.4
Oct 2023,242.8
Nov 2023,150.6
Dec 2023,261.2
Jan 2024,123
Feb 2024,70.2
Mar 2024,100.4
Apr 2024,172.8
May 2024,74
Jun 2024,45.8
Jul 2024,87.8
Aug 2024,83.2
Sep 2024,47.4
Oct 2024,92.2
Nov 2024,37.4
Dec 2024,141.6
Jan 2025,53.2
Feb 2025,61.8
Mar 2025,45.6
Apr 2025,22.6
May 2025,13.2
