Timestamp,Value
Sep 2015,61
Oct 2015,144.6
Nov 2015,435.8
Dec 2015,700.4
Jan 2016,315
Feb 2016,304.6
Mar 2016,191.4
Apr 2016,138.8
May 2016,146.2
Jun 2016,139.6
Jul 2016,234.8
Aug 2016,232.6
Sep 2016,230.6
Oct 2016,125.6
Nov 2016,169.8
Dec 2016,425.8
Jan 2017,204.2
Feb 2017,279.4
Mar 2017,258
Apr 2017,221.2
May 2017,60.2
Jun 2017,222
Jul 2017,179.4
Aug 2017,251.2
Sep 2017,211.4
Oct 2017,527.4
Nov 2017,331.8
Dec 2017,376.6
Jan 2018,387.6
Feb 2018,188.6
Mar 2018,104.6
Apr 2018,138
May 2018,62.6
Jun 2018,127
Jul 2018,107.6
Aug 2018,152.2
Sep 2018,482.4
Oct 2018,393.4
Nov 2018,225.2
Dec 2018,329
Jan 2019,366.2
Feb 2019,289.8
Mar 2019,426.8
Apr 2019,59.2
May 2019,25
Jun 2019,96.8

Aug 2019,311.4
Sep 2019,227
Oct 2019,381.4
Nov 2019,91.8
Dec 2019,393.8
Jan 2020,686.2
Feb 2020,595.8
Mar 2020,358.6
Apr 2020,89
May 2020,196.8
Jun 2020,109.2
Jul 2020,201
Aug 2020,121
Sep 2020,319.4
Oct 2020,449.2
Nov 2020,398.6
Dec 2020,357
Jan 2021,260.4
Feb 2021,255.2
Mar 2021,377.4
Apr 2021,86
May 2021,90.8
Jun 2021,51.2
Jul 2021,70
Aug 2021,112.2
Sep 2021,145.6
Oct 2021,407.4
Nov 2021,380.4
Dec 2021,189.6
Jan 2022,430.4
Feb 2022,557.6
Mar 2022,87.4
Apr 2022,160
May 2022,330.8
Jun 2022,196.2
Jul 2022,197.4
Aug 2022,133
Sep 2022,144.8
Oct 2022,442.6
Nov 2022,522.6
Dec 2022,222.4
Jan 2023,399.2
Feb 2023,355.8
Mar 2023,167.4
Apr 2023,97.4
May 2023,49.8
Jun 2023,111
Jul 2023,220.4
Aug 2023,130.6
Sep 2023,290.6
Oct 2023,327.6
Nov 2023,218.8
Dec 2023,541.8
Jan 2024,401.8
Feb 2024,409.2
Mar 2024,167.8
Apr 2024,280.6
May 2024,59.8
Jun 2024,236.2
Jul 2024,130.2
Aug 2024,380.6
Sep 2024,142
Oct 2024,235
Nov 2024,235.4
Dec 2024,818.2
Jan 2025,151
Feb 2025,277.2
Mar 2025,210.8
Apr 2025,66.4
May 2025,151
Jun 2025,229
Jul 2025,185.4
Aug 2025,203.4
