Timestamp,Value
Jun 2015,61.4
Jul 2015,86.5
Aug 2015,41.6
Sep 2015,43.2
Oct 2015,41.4
Nov 2015,150.4
Dec 2015,310.9
Jan 2016,154.2
Feb 2016,99.5
Mar 2016,69.9
Apr 2016,76.8
May 2016,47.3
Jun 2016,78.7
Jul 2016,85.8
Aug 2016,79.6
Sep 2016,109.6
Oct 2016,47.6
Nov 2016,71.6
Dec 2016,120.4
Jan 2017,74.4
Feb 2017,92.8
Mar 2017,87
Apr 2017,76.2
May 2017,35
Jun 2017,136.8
Jul 2017,56.6
Aug 2017,77
Sep 2017,119
Oct 2017,109.2
Nov 2017,133.8
Dec 2017,102.4
Jan 2018,114.6
Feb 2018,34
Mar 2018,31.2
Apr 2018,40.6
May 2018,35
Jun 2018,45.2
Jul 2018,51.8
Aug 2018,44.8
Sep 2018,136.8
Oct 2018,113.4
Nov 2018,101.6
Dec 2018,95.2
Jan 2019,95.4
Feb 2019,80.6
Mar 2019,191
Apr 2019,54.8
May 2019,131.8
Jun 2019,88
Jul 2019,68.2
Aug 2019,149.2
Sep 2019,78.6
Oct 2019,119.2
Nov 2019,117
Dec 2019,142.8
Jan 2020,163.6
Feb 2020,247.6
Mar 2020,88
Apr 2020,31
May 2020,90.2
Jun 2020,136
Jul 2020,105.4
Aug 2020,38.8
Sep 2020,75.2
Oct 2020,228.8
Nov 2020,116.8
Dec 2020,143.6
Jan 2021,35.8
Feb 2021,87.2
Mar 2021,130.6
Apr 2021,59
May 2021,134
Jun 2021,17.8
Jul 2021,119.2
Aug 2021,30.8
Sep 2021,62
Oct 2021,138.6
Nov 2021,124
Dec 2021,81.6
Jan 2022,98.4
Feb 2022,178
Mar 2022,58.2
Apr 2022,72.6
May 2022,87.8
Jun 2022,25.2
Jul 2022,71.6
Aug 2022,33
Sep 2022,111.2
Oct 2022,106.2
Nov 2022,92.6
Dec 2022,71.4
Jan 2023,142.6
Feb 2023,87
Mar 2023,74.8
Apr 2023,54
May 2023,25.6
Jun 2023,47.2
Jul 2023,109
Aug 2023,98.4
Sep 2023,105.8
Oct 2023,179.2
Nov 2023,90.2
Dec 2023,161.4
Jan 2024,144.8
Feb 2024,123.4
Mar 2024,85.8
Apr 2024,125.2
May 2024,64
Jun 2024,91
Jul 2024,36
Aug 2024,57.6
Sep 2024,89
Oct 2024,98.4
Nov 2024,68
Dec 2024,286.4
Jan 2025,94
Feb 2025,81.4
Mar 2025,57.7
Apr 2025,41
May 2025,15.4
