Timestamp,Value
Sep 2015,62.6
Oct 2015,149.2
Nov 2015,422.6
Dec 2015,648
Jan 2016,369.6
Feb 2016,275.8
Mar 2016,159
Apr 2016,93.2
May 2016,122.8
Jun 2016,114.6
Jul 2016,211.4
Aug 2016,199.2
Sep 2016,156
Oct 2016,63.4
Nov 2016,137.4
Dec 2016,365.6
Jan 2017,168
Feb 2017,211.8
Mar 2017,222.2
Apr 2017,140
May 2017,53.2
Jun 2017,223.4
Jul 2017,163.4
Aug 2017,184.6
Sep 2017,173.2
Oct 2017,398
Nov 2017,244.6
Dec 2017,274
Jan 2018,326
Feb 2018,165
Mar 2018,81.4
Apr 2018,110.4
May 2018,67.4
Jun 2018,150.2
Jul 2018,119.2
Aug 2018,153.8
Sep 2018,401.6
Oct 2018,381.8
Nov 2018,202.4
Dec 2018,254
Jan 2019,252.6
Feb 2019,237
Mar 2019,324.2
Apr 2019,50.2
May 2019,118.4
Jun 2019,153.4
Jul 2019,200
Aug 2019,280.6
Sep 2019,186.4
Oct 2019,266.6
Nov 2019,35.2
Dec 2019,405.8
Jan 2020,554.6
Feb 2020,502.8
Mar 2020,286.2
Apr 2020,74.4
May 2020,189.8
Jun 2020,137
Jul 2020,140.2
Aug 2020,103.4
Sep 2020,264.8
Oct 2020,375.6
Nov 2020,325.2
Dec 2020,281.6
Jan 2021,196.4
Feb 2021,214
Mar 2021,359.6
Apr 2021,59.8
May 2021,45.4
Jun 2021,58.2
Jul 2021,89.6
Aug 2021,57
Sep 2021,140
Oct 2021,197
Nov 2021,228.4
Dec 2021,207
Jan 2022,274.6
Feb 2022,377.8
Mar 2022,79
Apr 2022,92
May 2022,223.4
Jun 2022,157
Jul 2022,138
Aug 2022,120.8
Sep 2022,138.6
Oct 2022,381
Nov 2022,368.2
Dec 2022,172.4
Jan 2023,294.4
Feb 2023,247.2
Mar 2023,139.2
Apr 2023,55.6
May 2023,39.4
Jun 2023,107.2
Jul 2023,168.4
Aug 2023,118.8
Sep 2023,235.6
Oct 2023,291.8
Nov 2023,168
Dec 2023,450.4
Jan 2024,355.6
Feb 2024,382.2
Mar 2024,138.6
Apr 2024,219.4
May 2024,50.4
Jun 2024,152.4
Jul 2024,113.2
Aug 2024,409.8
Sep 2024,99
Oct 2024,204.4
Nov 2024,207.2
Dec 2024,651.2
Jan 2025,154.4
Feb 2025,243.4
Mar 2025,191.4
Apr 2025,68.2
May 2025,142.8
Jun 2025,221.6
Jul 2025,169.6
Aug 2025,160.6
