Timestamp,Value
Sep 2015,39.6
Oct 2015,58.8
Nov 2015,86.4
Dec 2015,99.4
Jan 2016,150.6
Feb 2016,40.4
Mar 2016,22.6
Apr 2016,87
May 2016,18.8
Jun 2016,87.8
Jul 2016,85.8
Aug 2016,53
Sep 2016,43.2
Oct 2016,68.4
Nov 2016,45.2
Dec 2016,36
Jan 2017,32.8
Feb 2017,55.4
Mar 2017,56.6
Apr 2017,7.8
May 2017,41.4
Jun 2017,117.8
Jul 2017,48.8
Aug 2017,87.4
Sep 2017,67
Oct 2017,43.8
Nov 2017,54.8
Dec 2017,32.4
Jan 2018,59.2
Feb 2018,22
Mar 2018,110.6
Apr 2018,34.6
May 2018,40.6
Jun 2018,37.6
Jul 2018,64.8
Aug 2018,47.2
Sep 2018,35.4
Oct 2018,71.6
Nov 2018,89.2
Dec 2018,47
Jan 2019,22.4
Feb 2019,27.2
Mar 2019,67.8
Apr 2019,32
May 2019,80.4
Jun 2019,59.8
Jul 2019,85.8
Aug 2019,106.2
Sep 2019,59.8
Oct 2019,76.6
Nov 2019,133.8
Dec 2019,51
Jan 2020,24.4
Feb 2020,107.8
Mar 2020,24
Apr 2020,8
May 2020,26.2
Jun 2020,49.6
Jul 2020,103.6
Aug 2020,125.6
Sep 2020,35.8
Oct 2020,187.8
Nov 2020,42.6
Dec 2020,90.4
Jan 2021,70
Feb 2021,89.4
Mar 2021,33.8
Apr 2021,12.4
May 2021,130.6
Jun 2021,17.6
Jul 2021,21
Aug 2021,67.8
Sep 2021,74.6
Oct 2021,99
Nov 2021,37.4
Dec 2021,87
Jan 2022,12
Feb 2022,68
Mar 2022,32.8
Apr 2022,34.4
May 2022,52.8
Jun 2022,24.6
Jul 2022,25.4
Aug 2022,36.4
Sep 2022,85
Oct 2022,89
Nov 2022,138
Dec 2022,106.4
Jan 2023,43.8
Feb 2023,24
Mar 2023,61.4
Apr 2023,54.2
May 2023,31.2
Jun 2023,41.6
Jul 2023,103.8
Aug 2023,62.6
Sep 2023,80.2
Oct 2023,171.2
Nov 2023,89.4
Dec 2023,166
Jan 2024,60
Feb 2024,43.2
Mar 2024,71.6
Apr 2024,72.4
May 2024,60
Jun 2024,38
Jul 2024,39.8
Aug 2024,69
Sep 2024,15.2
Oct 2024,72.6
Nov 2024,29
Dec 2024,75.4
Jan 2025,36.2
Feb 2025,43.8
Mar 2025,18.6
Apr 2025,10.2
May 2025,49
Jun 2025,55.6
Jul 2025,70.6
Aug 2025,29
