Timestamp,Value
Mar 2018,101.8
Apr 2018,193.4
May 2018,90.8
Jun 2018,202.8
Jul 2018,135.8
Aug 2018,159
Sep 2018,290.2
Oct 2018,307.2
Nov 2018,443.6
Dec 2018,256.6
Jan 2019,142.8
Feb 2019,206
Mar 2019,316.6
Apr 2019,89
May 2019,114.6
Jun 2019,166.2
Jul 2019,158.2
Aug 2019,418.1
Sep 2019,233.4
Oct 2019,554.8
Nov 2019,289.8
Dec 2019,461
Jan 2020,449.4
Feb 2020,563.2
Mar 2020,266.2
Apr 2020,49
May 2020,106.2
Jun 2020,214
Jul 2020,210.4
Aug 2020,212.4
Sep 2020,222
Oct 2020,423
Nov 2020,412.8
Dec 2020,396
Jan 2021,205.8
Feb 2021,403.4
Mar 2021,296
Apr 2021,51.2
May 2021,146.2
Jun 2021,83.2
Jul 2021,109.2
Aug 2021,145.2
Sep 2021,155.6
Oct 2021,423.4
Nov 2021,193.6
Dec 2021,222.6
Jan 2022,203.8
Feb 2022,479.8
Mar 2022,156.6
Apr 2022,105.8
May 2022,206.4
Jun 2022,211.6
Jul 2022,136
Aug 2022,127.8
Sep 2022,232.2
Oct 2022,455
Nov 2022,402.4
Dec 2022,320.6
Jan 2023,391.3
Feb 2023,146
Mar 2023,285.8
Apr 2023,140
May 2023,50.6
Jun 2023,110.8
Jul 2023,287.4
Aug 2023,166.4
Sep 2023,336.6
Oct 2023,330.2
Nov 2023,195.6
Dec 2023,485.8
Jan 2024,338.1
Feb 2024,265.8
Mar 2024,221.2
Apr 2024,275.9
May 2024,150.4
Jun 2024,124.6
Jul 2024,119.7
Aug 2024,410.8
Sep 2024,71.8
Oct 2024,241.4
Nov 2024,100.8
Dec 2024,406.2
Jan 2025,179.6
Feb 2025,290.7
Mar 2025,145.9
Apr 2025,92.8
May 2025,0
