Timestamp,Value
Sep 2015,27.4
Oct 2015,55.4
Nov 2015,144.8
Dec 2015,351.8
Jan 2016,169.4
Feb 2016,107.8
Mar 2016,77
Apr 2016,67.6
May 2016,62.6
Jun 2016,70
Jul 2016,72.8
Aug 2016,79.8
Sep 2016,93.4
Oct 2016,41.2
Nov 2016,45.4
Dec 2016,127
Jan 2017,79.8
Feb 2017,80.6
Mar 2017,94.2
Apr 2017,34.4
May 2017,37
Jun 2017,88.4
Jul 2017,48.2
Aug 2017,77.2
Sep 2017,76
Oct 2017,113.4
Nov 2017,144.6
Dec 2017,124.8
Jan 2018,169.8
Feb 2018,86.6
Mar 2018,47
Apr 2018,55
May 2018,31
Jun 2018,43.2
Jul 2018,78.2
Aug 2018,33
Sep 2018,132.6
Oct 2018,102.8
Nov 2018,79.8
Dec 2018,79.6
Jan 2019,85.4
Feb 2019,90.6
Mar 2019,168.4
Apr 2019,39.4
May 2019,104
Jun 2019,81.2
Jul 2019,87.2
Aug 2019,146
Sep 2019,59.4
Oct 2019,126.2
Nov 2019,98.6
Dec 2019,138.6
Jan 2020,234
Feb 2020,259.4
Mar 2020,103.2
Apr 2020,23.6
May 2020,76.6
Jun 2020,124.4
Jul 2020,73
Aug 2020,44.4
Sep 2020,90.2
Oct 2020,207.2
Nov 2020,83.4
Dec 2020,191.8
Jan 2021,120.6
Feb 2021,114.6
Mar 2021,146.2
Apr 2021,54
May 2021,97.6
Jun 2021,12.2
Jul 2021,89.8
Aug 2021,47
Sep 2021,56.8
Oct 2021,136.2
Nov 2021,85.6
Dec 2021,83.6
Jan 2022,103.4
Feb 2022,187.6
Mar 2022,37.4
Apr 2022,71
May 2022,67.2
Jun 2022,26.6
Jul 2022,51.8
Aug 2022,29
Sep 2022,78.6
Oct 2022,128.8
Nov 2022,152.8
Dec 2022,82.8
Jan 2023,147.6
Feb 2023,86
Mar 2023,81.6
Apr 2023,46.8
May 2023,10.8
Jun 2023,51.2
Jul 2023,101.8
Aug 2023,93.2
Sep 2023,127.4
Oct 2023,164.8
Nov 2023,88.8
Dec 2023,133.4
Jan 2024,144.6
Feb 2024,108
Mar 2024,64.4
Apr 2024,105.2
May 2024,45.2
Jun 2024,75.2
Jul 2024,47.4
Aug 2024,81.8
Sep 2024,64.2
Oct 2024,86.8
Nov 2024,78.4
Dec 2024,239.2
Jan 2025,60.6
Feb 2025,119.8
Mar 2025,53.8
Apr 2025,44.4
May 2025,64.8
Jun 2025,64
Jul 2025,78
Aug 2025,62
