Timestamp,Value
Jun 2015,69.5
Jul 2015,172.5
Aug 2015,47.1
Sep 2015,54.7
Oct 2015,82.8
Nov 2015,283.2
Dec 2015,207
Jan 2016,236.2
Feb 2016,159.2
Mar 2016,73.6
Apr 2016,85.8
May 2016,67.2
Jun 2016,113
Jul 2016,115.6
Aug 2016,110
Sep 2016,140.8
Oct 2016,56
Nov 2016,81
Dec 2016,101.8
Jan 2017,80
Feb 2017,152.4
Mar 2017,119.2
Apr 2017,33
May 2017,78
Jun 2017,190
Jul 2017,119.4
Aug 2017,162.8
Sep 2017,147.6
Oct 2017,135.2
Nov 2017,116.2
Dec 2017,107.2
Jan 2018,216.6
Feb 2018,85.4
Mar 2018,63.2
Apr 2018,89.4
May 2018,44.6
Jun 2018,81.2
Jul 2018,95
Aug 2018,136.4
Sep 2018,115
Oct 2018,114.6
Nov 2018,230.6
Dec 2018,145.2
Jan 2019,49.4
Feb 2019,113.8
Mar 2019,201.8
Apr 2019,55
May 2019,62.4
Jun 2019,90.4
Jul 2019,121
Aug 2019,203.2
Sep 2019,160.2
Oct 2019,140.4
Nov 2019,107.2
Dec 2019,152.4
Jan 2020,159.6
Feb 2020,254.8
Mar 2020,85.6
Apr 2020,15
May 2020,43.4
Jun 2020,160.2
Jul 2020,175.8
Aug 2020,182.4
Sep 2020,94.6
Oct 2020,196.4
Nov 2020,145.2
Dec 2020,163.8
Jan 2021,113.4
Feb 2021,178.8
Mar 2021,133.6
Apr 2021,10.4
May 2021,115.4
Jun 2021,28.8
Jul 2021,30.8
Aug 2021,113.2
Sep 2021,108
Oct 2021,285.2
Nov 2021,92.8
Dec 2021,128.6
Jan 2022,74.4
Feb 2022,220.2
Mar 2022,72
Apr 2022,49.6
May 2022,75.6
Jun 2022,90.8
Jul 2022,60.4
Aug 2022,78.2
Sep 2022,114.4
Oct 2022,215
Nov 2022,214.4
Dec 2022,158.6
Jan 2023,168.6
Feb 2023,56.6
Mar 2023,179.2
Apr 2023,72.8
May 2023,24.8
Jun 2023,69.2
Jul 2023,191
Aug 2023,62.6
Sep 2023,202.8
Oct 2023,88.4
Nov 2023,119.2
Dec 2023,250.8
Jan 2024,134.6
Feb 2024,118.4
Mar 2024,142.8
Apr 2024,157.4
May 2024,112.6
Jun 2024,76.4
Jul 2024,64.6
Aug 2024,253
Sep 2024,58.2
Oct 2024,100.8
Nov 2024,92.6
Dec 2024,160.8
Jan 2025,83.4
Feb 2025,111.8
Mar 2025,51.6
Apr 2025,45.2
May 2025,9
