Timestamp,Value
Sep 2015,41.2
Oct 2015,79.4
Nov 2015,298
Dec 2015,433.4
Jan 2016,262.2
Feb 2016,173.6
Mar 2016,103.8
Apr 2016,101.8
May 2016,50.2
Jun 2016,89.2
Jul 2016,168.6
Aug 2016,106.6
Sep 2016,118.4
Oct 2016,56.4
Nov 2016,109.8
Dec 2016,111.4
Jan 2017,76
Feb 2017,161.6
Mar 2017,122.2
Apr 2017,38.6
May 2017,49.8
Jun 2017,178.8
Jul 2017,117
Aug 2017,134.4
Sep 2017,99
Oct 2017,167.6
Nov 2017,119
Dec 2017,106.2
Jan 2018,163.2
Feb 2018,82.4
Mar 2018,88.8
Apr 2018,86.8
May 2018,35.6
Jun 2018,145
Jul 2018,59.2
Aug 2018,105.2
Sep 2018,112.6
Oct 2018,125.6
Nov 2018,209.8
Dec 2018,125.6
Jan 2019,55.8
Feb 2019,84.8
Mar 2019,191.4
Apr 2019,70.8
May 2019,79.8
Jun 2019,84.6
Jul 2019,103.4
Aug 2019,147.4
Sep 2019,138.6
Oct 2019,99.4
Nov 2019,91.8
Dec 2019,174.8
Jan 2020,192.8
Feb 2020,344.2
Mar 2020,92.4
Apr 2020,18.6
May 2020,50.8
Jun 2020,146.6
Jul 2020,129.4
Aug 2020,164.6
Sep 2020,94.8
Oct 2020,172
Nov 2020,178.4
Dec 2020,195.2
Jan 2021,100.4
Feb 2021,184
Mar 2021,123.6
Apr 2021,29.8
May 2021,118.6
Jun 2021,25.2
Jul 2021,38.4
Aug 2021,101.8
Sep 2021,108
Oct 2021,223.8
Nov 2021,91.8
Dec 2021,100.8
Jan 2022,62.8
Feb 2022,249.4
Mar 2022,82
Apr 2022,61.6
May 2022,78.2
Jun 2022,76.8
Jul 2022,54.8
Aug 2022,72.8
Sep 2022,137.6
Oct 2022,195.2
Nov 2022,188
Dec 2022,161.2
Jan 2023,158.2
Feb 2023,61.6
Mar 2023,122.2
Apr 2023,68
May 2023,62
Jun 2023,72.8
Jul 2023,178.8
Aug 2023,98.4
Sep 2023,183.4
Oct 2023,110
Nov 2023,106.6
Dec 2023,242
Jan 2024,162.2
Feb 2024,114.6
Mar 2024,124
Apr 2024,162.2
May 2024,187.4
Jun 2024,83.2
Jul 2024,79.6
Aug 2024,201.4
Sep 2024,58.8
Oct 2024,94.4
Nov 2024,62.4
Dec 2024,138
Jan 2025,75.4
Feb 2025,119.2
Mar 2025,48.6
Apr 2025,40.8
May 2025,87
Jun 2025,136
Jul 2025,124.2
Aug 2025,44.8
