Timestamp,Value
Jun 2015,73.4
Jul 2015,188.2
Aug 2015,135
Sep 2015,49.4
Oct 2015,113.4
Nov 2015,311.2
Dec 2015,470.2
Jan 2016,272.6
Feb 2016,207.2
Mar 2016,110.8
Apr 2016,123.6
May 2016,79
Jun 2016,77.8
Jul 2016,145.2
Aug 2016,115.6
Sep 2016,165.6
Oct 2016,66.4
Nov 2016,96.8
Dec 2016,128.6
Jan 2017,100.4
Feb 2017,194
Mar 2017,151
Apr 2017,32.8
May 2017,74
Jun 2017,220.2
Jul 2017,129.6
Aug 2017,189.2
Sep 2017,148.8
Oct 2017,152.8
Nov 2017,144.6
Dec 2017,122.8
Jan 2018,252
Feb 2018,90.8
Mar 2018,83
Apr 2018,121.2
May 2018,46.6
Jun 2018,117.2
Jul 2018,83.4
Aug 2018,111.2
Sep 2018,129.2
Oct 2018,140.4
Nov 2018,290.8
Dec 2018,181
Jan 2019,61.6
Feb 2019,141
Mar 2019,247.2
Apr 2019,62.4
May 2019,65.6
Jun 2019,111.4
Jul 2019,143.2
Aug 2019,245.2
Sep 2019,186.6
Oct 2019,146.2
Nov 2019,102
Dec 2019,204.8
Jan 2020,227.6
Feb 2020,353
Mar 2020,116
Apr 2020,23.4
May 2020,55.4
Jun 2020,231.8
Jul 2020,175.8
Aug 2020,199.8
Sep 2020,98.2
Oct 2020,207.4
Nov 2020,194.8
Dec 2020,215.6
Jan 2021,123.4
Feb 2021,240.2
Mar 2021,167
Apr 2021,14.6
May 2021,136
Jun 2021,27.2
Jul 2021,33.6
Aug 2021,96.4
Sep 2021,107.2
Oct 2021,285.8
Nov 2021,117.4
Dec 2021,141.6
Jan 2022,92.2
Feb 2022,262.2
Mar 2022,98.2
Apr 2022,66.8
May 2022,90
Jun 2022,94
Jul 2022,93.4
Aug 2022,92
Sep 2022,118.4
Oct 2022,291.8
Nov 2022,288.8
Dec 2022,198
Jan 2023,216.4
Feb 2023,55.6
Mar 2023,190.8
Apr 2023,79
May 2023,43
Jun 2023,56
Jul 2023,180.8
Aug 2023,94
Sep 2023,228.8
Oct 2023,113.4
Nov 2023,126.2
Dec 2023,293.6
Jan 2024,176.6
Feb 2024,136.6
Mar 2024,161.4
Apr 2024,182.2
May 2024,113.4
Jun 2024,79.8
Jul 2024,74
Aug 2024,265.4
Sep 2024,57.6
Oct 2024,119.6
Nov 2024,100.4
Dec 2024,195.8
Jan 2025,105
Feb 2025,158
Mar 2025,47.6
Apr 2025,50.2
May 2025,11.2
