Timestamp,Value
Jun 2015,55.4
Jul 2015,123.6
Aug 2015,105.8
Sep 2015,42
Oct 2015,110.6
Nov 2015,205
Dec 2015,163
Jan 2016,188.4
Feb 2016,87.6
Mar 2016,59
Apr 2016,89.4
May 2016,51.6
Jun 2016,60.4
Jul 2016,96.6
Aug 2016,74.2
Sep 2016,88.2
Oct 2016,42.4
Nov 2016,94.2
Dec 2016,66
Jan 2017,76.6
Feb 2017,135
Mar 2017,88
Apr 2017,21.6
May 2017,48
Jun 2017,139
Jul 2017,159
Aug 2017,141.8
Sep 2017,167.8
Oct 2017,135.2
Nov 2017,141.4
Dec 2017,132.8
Jan 2018,122.2
Feb 2018,99
Mar 2018,112.8
Apr 2018,64.8
May 2018,42.6
Jun 2018,35.6
Jul 2018,63.2
Aug 2018,101
Sep 2018,61
Oct 2018,75.2
Nov 2018,138.6
Dec 2018,105
Jan 2019,67
Feb 2019,62.2
Mar 2019,124.2
Apr 2019,64
May 2019,60
Jun 2019,89
Jul 2019,106.4
Aug 2019,115.6
Sep 2019,151
Oct 2019,142.6
Nov 2019,118.6
Dec 2019,90.2
Jan 2020,45
Feb 2020,132.8
Mar 2020,43.8
Apr 2020,35.8
May 2020,31.6
Jun 2020,98.4
Jul 2020,153
Aug 2020,152.4
Sep 2020,84.6
Oct 2020,185.2
Nov 2020,99.8
Dec 2020,107
Jan 2021,128.8
Feb 2021,117.2
Mar 2021,64
Apr 2021,16.2
May 2021,86.2
Jun 2021,27.6
Jul 2021,19
Aug 2021,67.8
Sep 2021,61.4
Oct 2021,191
Nov 2021,78.2
Dec 2021,126.6
Jan 2022,36.2
Feb 2022,97.2
Mar 2022,49.8
Apr 2022,58.8
May 2022,76.2
Jun 2022,56.8
Jul 2022,70.8
Aug 2022,59
Sep 2022,174.6
Oct 2022,124
Nov 2022,104.8
Dec 2022,91.6
Jan 2023,115.6
Feb 2023,30.2
Mar 2023,142.4
Apr 2023,93.8
May 2023,36.8
Jun 2023,75.4
Jul 2023,211.6
Aug 2023,67.6
Sep 2023,120.4
Oct 2023,100.2
Nov 2023,109.8
Dec 2023,191.6
Jan 2024,52.4
Feb 2024,85.6
Mar 2024,123.2
Apr 2024,116.8
May 2024,93.8
Jun 2024,65.2
Jul 2024,58.4
Aug 2024,128
Sep 2024,69.6
Oct 2024,100.8
Nov 2024,91.2
Dec 2024,113
Jan 2025,92.8
Feb 2025,53.8
Mar 2025,35.6
Apr 2025,31.4
May 2025,14.6
