Timestamp,Value
Jun 2015,92
Jul 2015,131.2
Aug 2015,77.6
Sep 2015,42.2
Oct 2015,85.2
Nov 2015,161.6
Dec 2015,279
Jan 2016,168
Feb 2016,163.6
Mar 2016,100.2
Apr 2016,63
May 2016,68.6
Jun 2016,87.8
Jul 2016,163.2
Aug 2016,100.8
Sep 2016,151
Oct 2016,43.4
Nov 2016,116
Dec 2016,140.2
Jan 2017,94.4
Feb 2017,124.4
Mar 2017,121.8
Apr 2017,89.8
May 2017,47.4
Jun 2017,30
Jul 2017,49
Aug 2017,117.2
Sep 2017,109.6
Oct 2017,165
Nov 2017,215.6
Dec 2017,157.8
Jan 2018,138.8
Feb 2018,92.4
Mar 2018,74.2
Apr 2018,72.6
May 2018,43
Jun 2018,38.2
Jul 2018,61.4
Aug 2018,84
Sep 2018,201.2
Oct 2018,171.8
Nov 2018,91.4
Dec 2018,134.4
Jan 2019,140.2
Feb 2019,120.6
Mar 2019,141.6
Apr 2019,43.6
May 2019,63
Jun 2019,103.8
Jul 2019,115.4
Aug 2019,198
Sep 2019,106.8
Oct 2019,154
Nov 2019,55.4
Dec 2019,178.6
Jan 2020,219
Feb 2020,217
Mar 2020,156.2
Apr 2020,37.6
May 2020,93.4
Jun 2020,120
Jul 2020,85
Aug 2020,46.8
Sep 2020,153.8
Oct 2020,255
Nov 2020,171.4
Dec 2020,214
Jan 2021,135.4
Feb 2021,142
Mar 2021,168.6
Apr 2021,74
May 2021,58.6
Jun 2021,13.2
Jul 2021,1.4
Aug 2021,9
Sep 2021,146.8
Oct 2021,248.4
Nov 2021,211.6
Dec 2021,119
Jan 2022,154.2
Feb 2022,208.4
Mar 2022,67.4
Apr 2022,120
May 2022,131.8
Jun 2022,52
Jul 2022,86.6
Aug 2022,97.6
Sep 2022,91.8
Oct 2022,152.4
Nov 2022,256
Dec 2022,187.2
Jan 2023,182.2
Feb 2023,120.6
Mar 2023,111.6
Apr 2023,66.4
May 2023,36
Jun 2023,51.4
Jul 2023,139.8
Aug 2023,95.8
Sep 2023,178.2
Oct 2023,147.4
Nov 2023,109.2
Dec 2023,213.4
Jan 2024,209.6
Feb 2024,157.8
Mar 2024,88.6
Apr 2024,110.8
May 2024,58.4
Jun 2024,104.6
Jul 2024,88.8
Aug 2024,197.6
Sep 2024,68.6
Oct 2024,153.8
Nov 2024,124.4
Dec 2024,233.2
Jan 2025,114.8
Feb 2025,112.4
Mar 2025,101.8
Apr 2025,56.2
May 2025,22
