Timestamp,Value
Jun 2015,35.4
Jul 2015,96.6
Aug 2015,46
Sep 2015,40.4
Oct 2015,20.8
Nov 2015,143
Dec 2015,189.8
Jan 2016,160.4
Feb 2016,66.4
Mar 2016,12.8
Apr 2016,31
May 2016,20.6
Jun 2016,67.2
Jul 2016,30.8
Aug 2016,9.8
Sep 2016,39.8
Oct 2016,27.8
Nov 2016,92.6
Dec 2016,43.8
Jan 2017,25.6
Feb 2017,73.6
Mar 2017,49
Apr 2017,9.4
May 2017,25.4
Jun 2017,168.4
Jul 2017,72.8
Aug 2017,85.4
Sep 2017,73
Oct 2017,49.2
Nov 2017,45.8
Dec 2017,42.6
Jan 2018,65.4
Feb 2018,37
Mar 2018,70.4
Apr 2018,64.4
May 2018,21.4
Jun 2018,71.2
Jul 2018,34.8
Aug 2018,58.8
Sep 2018,63
Oct 2018,36.2
Nov 2018,76.8
Dec 2018,38
Jan 2019,11
Feb 2019,15
Mar 2019,74.8
Apr 2019,43.4
May 2019,60
Jun 2019,116.6
Jul 2019,86.2
Aug 2019,91.2
Sep 2019,73.2
Oct 2019,91
Nov 2019,102.4
Dec 2019,53.8
Jan 2020,58
Feb 2020,154.4
Mar 2020,53.2
Apr 2020,3.6
May 2020,42
Jun 2020,73.8
Jul 2020,64.8
Aug 2020,110.6
Sep 2020,35.6
Oct 2020,131.6
Nov 2020,36.8
Dec 2020,127.8
Jan 2021,139.2
Feb 2021,43.2
Mar 2021,44.6
Apr 2021,19.4
May 2021,116.8
Jun 2021,40.6
Jul 2021,61.6
Aug 2021,53.2
Sep 2021,50.2
Oct 2021,139.4
Nov 2021,41.4
Dec 2021,72.8
Jan 2022,23.2
Feb 2022,112.8
Mar 2022,48.2
Apr 2022,37
May 2022,37.8
Jun 2022,29.4
Jul 2022,29.8
Aug 2022,32.2
Sep 2022,96.8
Oct 2022,83.8
Nov 2022,89.6
Dec 2022,75.4
Jan 2023,37.6
Feb 2023,36.4
Mar 2023,67.8
Apr 2023,38.2
May 2023,24.8
Jun 2023,66
Jul 2023,104.6
Aug 2023,44.2
Sep 2023,69.2
Oct 2023,146.4
Nov 2023,77
Dec 2023,98.2
Jan 2024,70
Feb 2024,45.2
Mar 2024,80.4
Apr 2024,86.8
May 2024,150
Jun 2024,37.6
Jul 2024,42.2
Aug 2024,58.8
Sep 2024,57.8
Oct 2024,75.6
Nov 2024,10.8
Dec 2024,71.6
Jan 2025,63.8
Feb 2025,27.4
Mar 2025,17.2
Apr 2025,13
May 2025,1.2
