Timestamp,Value
Jun 2015,37
Jul 2015,46.6
Aug 2015,91.2
Sep 2015,38.4
Oct 2015,59
Nov 2015,44.6
Dec 2015,59.8
Jan 2016,104.2
Feb 2016,46.2
Mar 2016,29.6
Apr 2016,67.2
May 2016,22.2
Jun 2016,97.8
Jul 2016,108.6
Aug 2016,41.2
Sep 2016,32.2
Oct 2016,43.2
Nov 2016,53.2
Dec 2016,51.4
Jan 2017,45.6
Feb 2017,31.8
Mar 2017,42.2
Apr 2017,37.2
May 2017,25.6
Jun 2017,87.2
Jul 2017,71.4
Aug 2017,81
Sep 2017,151.8
Oct 2017,63.6
Nov 2017,80
Dec 2017,45.8
Jan 2018,35.2
Feb 2018,21
Mar 2018,58.8
Apr 2018,25.2
May 2018,28.4
Jun 2018,19.4
Jul 2018,37.8
Aug 2018,35.4
Sep 2018,78.6
Oct 2018,66.8
Nov 2018,48.2
Dec 2018,21.4
Jan 2019,33.2
Feb 2019,28
Mar 2019,45.4
Apr 2019,29.4
May 2019,76.8
Jun 2019,66.2
Jul 2019,60.4
Aug 2019,103.4
Sep 2019,93.6
Oct 2019,45.4
Nov 2019,102.2
Dec 2019,43.6
Jan 2020,26
Feb 2020,56.2
Mar 2020,15.6
Apr 2020,8.2
May 2020,21.6
Jun 2020,64
Jul 2020,78.2
Aug 2020,37.8
Sep 2020,61.4
Oct 2020,151
Nov 2020,26.4
Dec 2020,107.2
Jan 2021,90.8
Feb 2021,16.6
Mar 2021,35
Apr 2021,29.2
May 2021,56.6
Jun 2021,10.2
Jul 2021,80.2
Aug 2021,23.6
Sep 2021,74
Oct 2021,116.2
Nov 2021,57.6
Dec 2021,46.8
Jan 2022,20.8
Feb 2022,63.6
Mar 2022,28.4
Apr 2022,60
May 2022,59.2
Jun 2022,22.2
Jul 2022,48.2
Aug 2022,38.4
Sep 2022,62.4
Oct 2022,63
Nov 2022,56.2
Dec 2022,76.6
Jan 2023,59
Feb 2023,27.4
Mar 2023,62
Apr 2023,46.2
May 2023,32
Jun 2023,36.2
Jul 2023,70
Aug 2023,54.6
Sep 2023,64.8
Oct 2023,119.6
Nov 2023,67.6
Dec 2023,107.6
Jan 2024,48
Feb 2024,60.6
Mar 2024,59.8
Apr 2024,86.4
May 2024,39.2
Jun 2024,59.8
Jul 2024,102.4
Aug 2024,60
Sep 2024,88.4
Oct 2024,44.6
Nov 2024,44.2
Dec 2024,125.6
Jan 2025,34.4
Feb 2025,11
Mar 2025,26
Apr 2025,3.8
May 2025,8.6
