Timestamp,Value
Jun 2015,54.2
Jul 2015,92.4
Aug 2015,52.8
Sep 2015,37.2
Oct 2015,31.6
Nov 2015,83
Dec 2015,140.2
Jan 2016,89.4
Feb 2016,71.8
Mar 2016,56.4
Apr 2016,62.4
May 2016,40
Jun 2016,58
Jul 2016,75.2
Aug 2016,58.6
Sep 2016,57
Oct 2016,33.2
Nov 2016,29
Dec 2016,66.6
Jan 2017,34.2
Feb 2017,43.2
Mar 2017,55.8
Apr 2017,21.2
May 2017,31
Jun 2017,114.4
Jul 2017,47.6
Aug 2017,89.6
Sep 2017,82
Oct 2017,59.6
Nov 2017,86.8
Dec 2017,60.4
Jan 2018,63.2
Feb 2018,30
Mar 2018,38.8
Apr 2018,44.2
May 2018,38.8
Jun 2018,21.6
Jul 2018,46.8
Aug 2018,31.8
Sep 2018,90.8
Oct 2018,67
Nov 2018,26.4
Dec 2018,21.6
Jan 2019,54
Feb 2019,30.6
Mar 2019,105.8
Apr 2019,34.4
May 2019,93.4
Jun 2019,97
Jul 2019,61
Aug 2019,135.8
Sep 2019,56.8
Oct 2019,53.8
Nov 2019,110.6
Dec 2019,68.8
Jan 2020,70
Feb 2020,118
Mar 2020,29.6
Apr 2020,17.4
May 2020,39.4
Jun 2020,129.2
Jul 2020,63
Aug 2020,33.2
Sep 2020,59.2
Oct 2020,167.6
Nov 2020,40.2
Dec 2020,118.8
Jan 2021,75.8
Feb 2021,24.2
Mar 2021,64
Apr 2021,36.6
May 2021,120
Jun 2021,19.8
Jul 2021,91
Aug 2021,30.2
Sep 2021,64
Oct 2021,96.2
Nov 2021,50.2
Dec 2021,47
Jan 2022,38
Feb 2022,108.6
Mar 2022,23
Apr 2022,67.8
May 2022,47.6
Jun 2022,23
Jul 2022,55.2
Aug 2022,39.6
Sep 2022,60.8
Oct 2022,60.8
Nov 2022,34.2
Dec 2022,43.8
Jan 2023,60.6
Feb 2023,36
Mar 2023,73.2
Apr 2023,33.2
May 2023,24.4
Jun 2023,49.8
Jul 2023,77.4
Aug 2023,75.2
Sep 2023,77.4
Oct 2023,100.8
Nov 2023,73.4
Dec 2023,93.2
Jan 2024,67.6
Feb 2024,103.8
Mar 2024,62
Apr 2024,103
May 2024,124.8
Jun 2024,89.4
Jul 2024,76.6
Aug 2024,43.6
Sep 2024,98.6
Oct 2024,66.4
Nov 2024,34.6
Dec 2024,192.2
Jan 2025,48.4
Feb 2025,30.8
Mar 2025,44.8
Apr 2025,40.4
May 2025,7
