Timestamp,Value
Jun 2017,49
Jul 2017,105
Aug 2017,124.6
Sep 2017,133
Oct 2017,192.2
Nov 2017,161.2
Dec 2017,125.4
Jan 2018,173
Feb 2018,83.6
Mar 2018,63
Apr 2018,74
May 2018,20.2
Jun 2018,78.6
Jul 2018,73.2
Aug 2018,125
Sep 2018,98.2
Oct 2018,120
Nov 2018,180.8
Dec 2018,126.8
Jan 2019,100
Feb 2019,60.4
Mar 2019,178.4
Apr 2019,44.2
May 2019,72
Jun 2019,61.8
Jul 2019,115
Aug 2019,205.6
Sep 2019,158.4
Oct 2019,114.2
Nov 2019,61
Dec 2019,188.2
Jan 2020,172.6
Feb 2020,334
Mar 2020,107.6
Apr 2020,22.6
May 2020,50
Jun 2020,143.6
Jul 2020,161.6
Aug 2020,171.4
Sep 2020,96.8
Oct 2020,166.6
Nov 2020,153
Dec 2020,138.8
Jan 2021,156.6
Feb 2021,142.8
Mar 2021,94.8
Apr 2021,14.4
May 2021,87.4
Jun 2021,31.4
Jul 2021,27.8
Aug 2021,64
Sep 2021,106.8
Oct 2021,182
Nov 2021,120.4
Dec 2021,113.8
Jan 2022,85
Feb 2022,236.6
Mar 2022,58
Apr 2022,75.8
May 2022,64
Jun 2022,73.6
Jul 2022,47.2
Aug 2022,65.2
Sep 2022,128
Oct 2022,167
Nov 2022,108
Dec 2022,106
Jan 2023,136.6
Feb 2023,58.6
Mar 2023,84.6
Apr 2023,80.8
May 2023,46.6
Jun 2023,61.4
Jul 2023,145.4
Aug 2023,77.4
Sep 2023,141.4
Oct 2023,100.2
Nov 2023,129.2
Dec 2023,241.8
Jan 2024,113.6
Feb 2024,110.8
Mar 2024,95.4
Apr 2024,123.2
May 2024,118.2
Jun 2024,60.8
Jul 2024,79.4
Aug 2024,184
Sep 2024,65.2
Oct 2024,84.4
Nov 2024,56.6
Dec 2024,118.4
Jan 2025,57.4
Feb 2025,83.2
Mar 2025,40.8
Apr 2025,43.4
May 2025,75.4
Jun 2025,116
Jul 2025,119.6
Aug 2025,52.2
