Timestamp,Value
Jun 2015,43.2
Jul 2015,42.8
Aug 2015,67
Sep 2015,36.2
Oct 2015,44.4
Nov 2015,47.8
Dec 2015,66.6
Jan 2016,100
Feb 2016,44.6
Mar 2016,32
Apr 2016,57.4
May 2016,18.8
Jun 2016,94.6
Jul 2016,90.6
Aug 2016,42.2
Sep 2016,46.4
Oct 2016,37.6
Nov 2016,64.6
Dec 2016,53.2
Jan 2017,49.4
Feb 2017,27.6
Mar 2017,35
Apr 2017,38.8
May 2017,30
Jun 2017,135.8
Jul 2017,87
Aug 2017,72
Sep 2017,143.4
Oct 2017,66.6
Nov 2017,95.2
Dec 2017,59.8
Jan 2018,44.2
Feb 2018,33.4
Mar 2018,53.8
Apr 2018,31.6
May 2018,25.2
Jun 2018,11.8
Jul 2018,32.4
Aug 2018,34.8
Sep 2018,80.4
Oct 2018,73.2
Nov 2018,40.6
Dec 2018,27.4
Jan 2019,51.2
Feb 2019,38.2
Mar 2019,52
Apr 2019,43.2
May 2019,89.2
Jun 2019,74.8
Jul 2019,82.8
Aug 2019,147
Sep 2019,85.8
Oct 2019,63.8
Nov 2019,99.4
Dec 2019,46.8
Jan 2020,32.2
Feb 2020,52.2
Mar 2020,17.6
Apr 2020,8
May 2020,22.6
Jun 2020,48.8
Jul 2020,33
Aug 2020,60
Sep 2020,52.2
Oct 2020,180.6
Nov 2020,31.6
Dec 2020,135.4
Jan 2021,94
Feb 2021,27.4
Mar 2021,53.6
Apr 2021,25.6
May 2021,93.2
Jun 2021,8.4
Jul 2021,73.8
Aug 2021,40.4
Sep 2021,49.4
Oct 2021,116.6
Nov 2021,75.4
Dec 2021,55.4
Jan 2022,20.2
Feb 2022,61
Mar 2022,25
Apr 2022,76
May 2022,58.2
Jun 2022,18.4
Jul 2022,57.6
Aug 2022,36.8
Sep 2022,75
Oct 2022,52.8
Nov 2022,57
Dec 2022,85.2
Jan 2023,57.6
Feb 2023,28.2
Mar 2023,61.8
Apr 2023,36.2
May 2023,48
Jun 2023,33.8
Jul 2023,60.6
Aug 2023,74.8
Sep 2023,86.4
Oct 2023,156.2
Nov 2023,96.2
Dec 2023,103.6
Jan 2024,49.6
Feb 2024,55.2
Mar 2024,67.8
Apr 2024,73.2
May 2024,52.2
Jun 2024,80.6
Jul 2024,95.6
Aug 2024,56
Sep 2024,104.2
Oct 2024,41.2
Nov 2024,53.8
Dec 2024,138
Jan 2025,38
Feb 2025,11.2
Mar 2025,28.8
Apr 2025,11
May 2025,9.6
