Timestamp,Value
Sep 2015,22.8
Oct 2015,52.6
Nov 2015,231.2
Dec 2015,230.4
Jan 2016,177.4
Feb 2016,138.2
Mar 2016,47.6
Apr 2016,65.6
May 2016,49.8
Jun 2016,37.6
Jul 2016,86.8
Aug 2016,59.4
Sep 2016,111.2
Oct 2016,27.2
Nov 2016,56
Dec 2016,71.4
Jan 2017,44.6
Feb 2017,101
Mar 2017,68.6
Apr 2017,15.8
May 2017,51.6
Jun 2017,98
Jul 2017,60.8
Aug 2017,105.6
Sep 2017,81.8
Oct 2017,112.8
Nov 2017,71
Dec 2017,79.2
Jan 2018,151.6
Feb 2018,29.8
Mar 2018,61
Apr 2018,68.8
May 2018,16.2
Jun 2018,42.8
Jul 2018,55
Aug 2018,68.4
Sep 2018,76.4
Oct 2018,68.6
Nov 2018,125.2
Dec 2018,77.8
Jan 2019,35.4
Feb 2019,55.6
Mar 2019,122
Apr 2019,34.2
May 2019,60.2
Jun 2019,51.8
Jul 2019,82.4
Aug 2019,163.6
Sep 2019,84.4
Oct 2019,120
Nov 2019,41.6
Dec 2019,133.4
Jan 2020,99
Feb 2020,254.8
Mar 2020,76
Apr 2020,15
May 2020,38.4
Jun 2020,102
Jul 2020,133.4
Aug 2020,125.4
Sep 2020,77
Oct 2020,125.8
Nov 2020,102
Dec 2020,111.4
Jan 2021,88.2
Feb 2021,85.8
Mar 2021,88.2
Apr 2021,12.2
May 2021,65.2
Jun 2021,28.4
Jul 2021,41.8
Aug 2021,90.6
Sep 2021,91.4
Oct 2021,150
Nov 2021,50.8
Dec 2021,82.4
Jan 2022,70.2
Feb 2022,183.4
Mar 2022,30.2
Apr 2022,28.6
May 2022,56.2
Jun 2022,41.6
Jul 2022,4.2
Aug 2022,1.4
Sep 2022,0.8
Oct 2022,44.6
Nov 2022,95.2
Dec 2022,101.2
Jan 2023,95.4
Feb 2023,39.4
Mar 2023,91.8
Apr 2023,46.4
May 2023,27.6
Jun 2023,66.4
Jul 2023,120
Aug 2023,58.6
Sep 2023,113.8
Oct 2023,101.8
Nov 2023,77
Dec 2023,151.4
Jan 2024,111
Feb 2024,73.6
Mar 2024,78
Apr 2024,94.6
May 2024,90.2
Jun 2024,32.6
Jul 2024,49.4
Aug 2024,150.4
Sep 2024,52
Oct 2024,79.2
Nov 2024,50
Dec 2024,99.4
Jan 2025,57.6
Feb 2025,66
Mar 2025,40
Apr 2025,36
May 2025,87.6
Jun 2025,68.6
Jul 2025,73
Aug 2025,35.6
