Timestamp,Value
Sep 2015,24.8
Oct 2015,76.8
Nov 2015,202.8
Dec 2015,380.2
Jan 2016,239.2
Feb 2016,89.8
Mar 2016,46.6
Apr 2016,46.8
May 2016,58
Jun 2016,94.6
Jul 2016,79
Aug 2016,79
Sep 2016,128.8
Oct 2016,61.4
Nov 2016,92.6
Dec 2016,129.8
Jan 2017,59.2
Feb 2017,121.6
Mar 2017,87
Apr 2017,21.6
May 2017,44.2
Jun 2017,122.6
Jul 2017,68.8
Aug 2017,94.4
Sep 2017,102.6
Oct 2017,121.8
Nov 2017,77.8
Dec 2017,72.4
Jan 2018,110.4
Feb 2018,36
Mar 2018,61
Apr 2018,68.4
May 2018,28
Jun 2018,58.2
Jul 2018,79.4
Aug 2018,74.4
Sep 2018,141
Oct 2018,98.6
Nov 2018,163.8
Dec 2018,95.4
Jan 2019,29.8
Feb 2019,68.4
Mar 2019,112.6
Apr 2019,34.4
May 2019,124
Jun 2019,73.8
Jul 2019,90.4
Aug 2019,168.4
Sep 2019,97.4
Oct 2019,109.4
Nov 2019,73.2
Dec 2019,166.6
Jan 2020,179
Feb 2020,276.8
Mar 2020,84.8
Apr 2020,16.2
May 2020,48
Jun 2020,113.8
Jul 2020,118
Aug 2020,65.6
Sep 2020,78.2
Oct 2020,192.2
Nov 2020,106.2
Dec 2020,146.4
Jan 2021,14.4
Feb 2021,122
Mar 2021,118
Apr 2021,13.2
May 2021,98.6
Jun 2021,35.8
Jul 2021,96.4
Aug 2021,98.4
Sep 2021,85
Oct 2021,150.2
Nov 2021,68.8
Dec 2021,110.2
Jan 2022,71.2
Feb 2022,167.6
Mar 2022,67.6
Apr 2022,57.2
May 2022,76.4
Jun 2022,70.8
Jul 2022,69
Aug 2022,61.6
Sep 2022,77.8
Oct 2022,196.4
Nov 2022,190.8
Dec 2022,84.2
Jan 2023,156
Feb 2023,64.4
Mar 2023,103.8
Apr 2023,95.8
May 2023,28
Jun 2023,45
Jul 2023,135.8
Aug 2023,64.8
Sep 2023,159
Oct 2023,213
Nov 2023,86.6
Dec 2023,82.6
Jan 2024,139.8
Feb 2024,126
Mar 2024,75.6
Apr 2024,102.4
May 2024,75.4
Jun 2024,55.4
Jul 2024,79.2
Aug 2024,119.8
Sep 2024,42.6
Oct 2024,84.8
Nov 2024,60.4
Dec 2024,188.2
Jan 2025,69.4
Feb 2025,87.6
Mar 2025,52.2
Apr 2025,34.6
May 2025,64
Jun 2025,53.4
Jul 2025,68.2
Aug 2025,67
