Timestamp,Value
Sep 2015,43.4
Oct 2015,74.6
Nov 2015,230.2
Dec 2015,399.4
Jan 2016,249.4
Feb 2016,123.2
Mar 2016,47.2
Apr 2016,44.8
May 2016,74
Jun 2016,46.8
Jul 2016,78.2
Aug 2016,83.4
Sep 2016,114.2
Oct 2016,48.8
Nov 2016,54.6
Dec 2016,120.6
Jan 2017,55
Feb 2017,128.4
Mar 2017,85.6
Apr 2017,33.6
May 2017,35.6
Jun 2017,134
Jul 2017,67.6
Aug 2017,90.6
Sep 2017,88
Oct 2017,119.2
Nov 2017,90.8
Dec 2017,59.6
Jan 2018,116.8
Feb 2018,35
Mar 2018,45.8
Apr 2018,55.4
May 2018,24.2
Jun 2018,47.8
Jul 2018,66
Aug 2018,48
Sep 2018,167.6
Oct 2018,114.4
Nov 2018,167.4
Dec 2018,99.2
Jan 2019,65.4
Feb 2019,80
Mar 2019,151
Apr 2019,43.4
May 2019,108.2
Jun 2019,63.6
Jul 2019,85.2
Aug 2019,144.4
Sep 2019,67.8
Oct 2019,143.2
Nov 2019,63.2
Dec 2019,159.6
Jan 2020,200.6
Feb 2020,256.2
Mar 2020,74.2
Apr 2020,18.8
May 2020,59
Jun 2020,129
Jul 2020,88.8
Aug 2020,61.8
Sep 2020,89.8
Oct 2020,183.2
Nov 2020,120
Dec 2020,145
Jan 2021,45.8
Feb 2021,143.4
Mar 2021,124.8
Apr 2021,26.8
May 2021,108
Jun 2021,17
Jul 2021,93.8
Aug 2021,50
Sep 2021,76.8
Oct 2021,170
Nov 2021,91.2
Dec 2021,89
Jan 2022,78.4
Feb 2022,204
Mar 2022,78.8
Apr 2022,51.6
May 2022,97
Jun 2022,53.8
Jul 2022,47.4
Aug 2022,34.6
Sep 2022,73.4
Oct 2022,178.8
Nov 2022,153.4
Dec 2022,62
Jan 2023,142.4
Feb 2023,69
Mar 2023,58.8
Apr 2023,48
May 2023,21.6
Jun 2023,41.6
Jul 2023,96.6
Aug 2023,74
Sep 2023,118
Oct 2023,139.6
Nov 2023,62.4
Dec 2023,148.4
Jan 2024,128.8
Feb 2024,117.8
Mar 2024,62.2
Apr 2024,97.8
May 2024,39
Jun 2024,72.2
Jul 2024,52.4
Aug 2024,112.2
Sep 2024,53.2
Oct 2024,98.6
Nov 2024,72.4
Dec 2024,206.4
Jan 2025,64.6
Feb 2025,112.8
Mar 2025,74.2
Apr 2025,33.8
May 2025,54.2
Jun 2025,64.2
Jul 2025,88.6
Aug 2025,43.8
