Timestamp,Value
Sep 2015,62.4
Oct 2015,73.4
Nov 2015,61.8
Dec 2015,150
Jan 2016,230.6
Feb 2016,50.2
Mar 2016,44.4
Apr 2016,83.8
May 2016,39.8
Jun 2016,146
Jul 2016,70.8
Aug 2016,58.8
Sep 2016,36.6
Oct 2016,28.4
Nov 2016,98.8
Dec 2016,40.6
Jan 2017,34.6
Feb 2017,61.4
Mar 2017,48.2
Apr 2017,41.6
May 2017,24
Jun 2017,117.4
Jul 2017,74
Aug 2017,56.6
Sep 2017,104.2
Oct 2017,57.4
Nov 2017,109.2
Dec 2017,50.8
Jan 2018,26
Feb 2018,26.6
Mar 2018,109.8
Apr 2018,45.2
May 2018,27.6
Jun 2018,48.6
Jul 2018,59.6
Aug 2018,44.4
Sep 2018,53.8
Oct 2018,83.4
Nov 2018,121.6
Dec 2018,59.2
Jan 2019,54.4
Feb 2019,31.4
Mar 2019,66.8
Apr 2019,55.8
May 2019,147
Jun 2019,97.6
Jul 2019,75
Aug 2019,96.4
Sep 2019,85.4
Oct 2019,78.4
Nov 2019,156.6
Dec 2019,54.4
Jan 2020,28.2
Feb 2020,70.6
Mar 2020,18.6
Apr 2020,18.4
May 2020,54
Jun 2020,90.8
Jul 2020,102.2
Aug 2020,83.8
Sep 2020,29
Oct 2020,188.6
Nov 2020,31
Dec 2020,132.8
Jan 2021,31
Feb 2021,17.2
Mar 2021,43.4
Apr 2021,31.4
May 2021,151.8
Jun 2021,19.4
Jul 2021,132.4
Aug 2021,114.2
Sep 2021,70
Oct 2021,141.8
Nov 2021,84.6
Dec 2021,82.6
Jan 2022,18.8
Feb 2022,51.8
Mar 2022,47.4
Apr 2022,76.4
May 2022,50.4
Jun 2022,28.2
Jul 2022,62.4
Aug 2022,64.6
Sep 2022,128.8
Oct 2022,91.4
Nov 2022,185.4
Dec 2022,87.4
Jan 2023,54
Feb 2023,36
Mar 2023,87
Apr 2023,79.2
May 2023,50
Jun 2023,45.4
Jul 2023,105.4
Aug 2023,55
Sep 2023,107.6
Oct 2023,294.4
Nov 2023,83.2
Dec 2023,197.4
Jan 2024,92
Feb 2024,60.4
Mar 2024,89.2
Apr 2024,90.6
May 2024,55
Jun 2024,47.4
Jul 2024,110
Aug 2024,47
Sep 2024,52
Oct 2024,61
Nov 2024,33
Dec 2024,107.6
Jan 2025,57
Feb 2025,42.2
Mar 2025,30.2
Apr 2025,15.8
May 2025,38.4
Jun 2025,45.6
Jul 2025,83.8
Aug 2025,21
