Timestamp,Value
Jun 2015,52.6
Jul 2015,120.8
Aug 2015,50.6
Sep 2015,21.6
Oct 2015,35.6
Nov 2015,127.6
Dec 2015,156.6
Jan 2016,106.6
Feb 2016,93.2
Mar 2016,37.4
Apr 2016,49.6
May 2016,44
Jun 2016,44
Jul 2016,85.4
Aug 2016,57.6
Sep 2016,43.4
Oct 2016,28.2
Nov 2016,33.4
Dec 2016,68
Jan 2017,65
Feb 2017,54.2
Mar 2017,76.6
Apr 2017,35.6
May 2017,32.2
Jun 2017,85.4
Jul 2017,66
Aug 2017,84.6
Sep 2017,66.4
Oct 2017,84
Nov 2017,160.4
Dec 2017,69.6
Jan 2018,107.4
Feb 2018,46
Mar 2018,90.4
Apr 2018,41.4
May 2018,23.2
Jun 2018,24.4
Jul 2018,46.6
Aug 2018,21.8
Sep 2018,86.4
Oct 2018,75
Nov 2018,23
Dec 2018,45.8
Jan 2019,77.2
Feb 2019,34.8
Mar 2019,123.8
Apr 2019,40.6
May 2019,83
Jun 2019,65.2
Jul 2019,93.8
Aug 2019,106.6
Sep 2019,57
Oct 2019,78.2
Nov 2019,122.6
Dec 2019,82.6
Jan 2020,119
Feb 2020,209
Mar 2020,61.4
Apr 2020,34.6
May 2020,89
Jun 2020,77
Jul 2020,53.8
Aug 2020,22
Sep 2020,64.6
Oct 2020,95.2
Nov 2020,51.4
Dec 2020,139.8
Jan 2021,99
Feb 2021,31
Mar 2021,34.8
Apr 2021,28
May 2021,101.4
Jun 2021,8
Jul 2021,107.6
Aug 2021,15.4
Sep 2021,61.2
Oct 2021,96.8
Nov 2021,84
Dec 2021,61
Jan 2022,65.8
Feb 2022,148.4
Mar 2022,20.4
Apr 2022,78
May 2022,69
Jun 2022,18.2
Jul 2022,56.4
Aug 2022,30.4
Sep 2022,51.4
Oct 2022,63
Nov 2022,47.4
Dec 2022,57
Jan 2023,88.6
Feb 2023,43.6
Mar 2023,69.6
Apr 2023,41.4
May 2023,17.2
Jun 2023,42.2
Jul 2023,88.8
Aug 2023,62
Sep 2023,72
Oct 2023,168.6
Nov 2023,65.8
Dec 2023,124.8
Jan 2024,97
Feb 2024,91.4
Mar 2024,63
Apr 2024,69.8
May 2024,17.2
Jun 2024,52
Jul 2024,64.2
Aug 2024,52
Sep 2024,56.4
Oct 2024,71.8
Nov 2024,51.8
Dec 2024,174.6
Jan 2025,50.2
Feb 2025,34
Mar 2025,35.2
Apr 2025,24.4
May 2025,6.2
