Timestamp,Value
Sep 2015,28
Oct 2015,136
Nov 2015,1939.8
Dec 2015,251.4
Jan 2016,269.4
Feb 2016,246.6
Mar 2016,104.6
Apr 2016,98.8
May 2016,99.8
Jun 2016,65.8
Jul 2016,131.8
Aug 2016,88.1
Sep 2016,179.4
Oct 2016,52
Nov 2016,191.6
Dec 2016,192.4
Jan 2017,172.8
Feb 2017,195.8
Mar 2017,188.6
Apr 2017,48.8
May 2017,88.6
Jun 2017,172.6
Jul 2017,169.2
Aug 2017,171.2
Sep 2017,190.4
Oct 2017,246.8
Nov 2017,192.4
Dec 2017,243.8
Jan 2018,0
Feb 2018,659.4
Mar 2018,113.4
Apr 2018,74.4
May 2018,90.8
Jun 2018,77
Jul 2018,51.6
Aug 2018,171.8
Sep 2018,162.7
Oct 2018,128.6
Nov 2018,200.2
Dec 2018,178.3
Jan 2019,137.8
Feb 2019,4.5
Mar 2019,19.7
Apr 2019,2
May 2019,77.4
Jun 2019,120.8
Jul 2019,148.4
Aug 2019,237.2
Sep 2019,30
Oct 2019,0
Nov 2019,16.6
Dec 2019,336.6
Jan 2020,189.6
Feb 2020,424.4
Mar 2020,141.2
Apr 2020,21
May 2020,76.4
Jun 2020,144.4
Jul 2020,188.6
Aug 2020,150.6
Sep 2020,166.6
Oct 2020,276.4
Nov 2020,283.8
Dec 2020,227.6
Jan 2021,193
Feb 2021,127
Mar 2021,130.6
Apr 2021,19.6
May 2021,68.4
Jun 2021,38
Jul 2021,14.6
Aug 2021,164
Sep 2021,111.2
Oct 2021,247.8
Nov 2021,134.2
Dec 2021,188.4
Jan 2022,126.8
Feb 2022,240.2
Mar 2022,66.4
Apr 2022,88.2
May 2022,153.8
Jun 2022,119.4
Jul 2022,74.8
Aug 2022,65.4
Sep 2022,254.2
Oct 2022,259.4
Nov 2022,152.2
Dec 2022,140.2
Jan 2023,229
Feb 2023,71.8
Mar 2023,200
Apr 2023,93.8
May 2023,49.6
Jun 2023,90.4
Jul 2023,177
Aug 2023,87.6
Sep 2023,222.6
Oct 2023,117.4
Nov 2023,194.6
Dec 2023,261.2
Jan 2024,27.8
Feb 2024,159.6
Mar 2024,121.8
Apr 2024,159.6
May 2024,80
Jun 2024,97.6
Jul 2024,77.2
Aug 2024,295.6
Sep 2024,83.4
Oct 2024,137.6
Nov 2024,94.6
Dec 2024,238.2
Jan 2025,89.4
Feb 2025,73.4
Mar 2025,80.2
Apr 2025,45.2
May 2025,103
Jun 2025,125.2
Jul 2025,111.8
Aug 2025,86
