Timestamp,Value
Sep 2015,32.8
Oct 2015,43.2
Nov 2015,66.6
Dec 2015,71.2
Jan 2016,118
Feb 2016,65
Mar 2016,37.4
Apr 2016,79.4
May 2016,24.4
Jun 2016,92.6
Jul 2016,65.6
Aug 2016,48.6
Sep 2016,42.8
Oct 2016,43.2
Nov 2016,71.4
Dec 2016,49.6
Jan 2017,58.4
Feb 2017,27.6
Mar 2017,44.4
Apr 2017,45.6
May 2017,30.4
Jun 2017,189
Jul 2017,93.2
Aug 2017,88
Sep 2017,146.2
Oct 2017,80.2
Nov 2017,129.8
Dec 2017,77.2
Jan 2018,47.4
Feb 2018,37.2
Mar 2018,55
Apr 2018,42.2
May 2018,34
Jun 2018,27
Jul 2018,36.4
Aug 2018,37.6
Sep 2018,89
Oct 2018,73.2
Nov 2018,39.6
Dec 2018,40.6
Jan 2019,68.2
Feb 2019,62.2
Mar 2019,91.2
Apr 2019,40.6
May 2019,119
Jun 2019,108.6
Jul 2019,84.4
Aug 2019,193.2
Sep 2019,95.4
Oct 2019,53.8
Nov 2019,105.2
Dec 2019,41.8
Jan 2020,36.4
Feb 2020,67
Mar 2020,17.4
Apr 2020,8.6
May 2020,30.2
Jun 2020,67.2
Jul 2020,100.6
Aug 2020,41.6
Sep 2020,56.4
Oct 2020,184
Nov 2020,30
Dec 2020,145.8
Jan 2021,119
Feb 2021,28.4
Mar 2021,52.8
Apr 2021,38.2
May 2021,99.4
Jun 2021,8.6
Jul 2021,65
Aug 2021,51
Sep 2021,76.8
Oct 2021,125
Nov 2021,81.2
Dec 2021,67
Jan 2022,30.8
Feb 2022,93.6
Mar 2022,26.4
Apr 2022,82.8
May 2022,73.2
Jun 2022,22
Jul 2022,67.8
Aug 2022,48
Sep 2022,113.2
Oct 2022,64.2
Nov 2022,71.8
Dec 2022,121.2
Jan 2023,82.4
Feb 2023,34.6
Mar 2023,77.4
Apr 2023,40.8
May 2023,44.8
Jun 2023,34.8
Jul 2023,84.4
Aug 2023,86.8
Sep 2023,91.6
Oct 2023,140
Nov 2023,105.2
Dec 2023,121
Jan 2024,74
Feb 2024,63.6
Mar 2024,68.6
Apr 2024,102
May 2024,95.6
Jun 2024,88.4
Jul 2024,120
Aug 2024,63.2
Sep 2024,121
Oct 2024,44.8
Nov 2024,77.4
Dec 2024,172.2
Jan 2025,45.6
Feb 2025,14.2
Mar 2025,49.4
Apr 2025,13.6
May 2025,38.2
Jun 2025,59.2
Jul 2025,43.8
Aug 2025,21
