Timestamp,Value
Sep 2015,55.4
Oct 2015,65.6
Nov 2015,273.4
Dec 2015,352.4
Jan 2016,245.6
Feb 2016,256.8
Mar 2016,88
Apr 2016,86
May 2016,88.8
Jun 2016,120.2
Jul 2016,159.2
Aug 2016,124.2
Sep 2016,128.4
Oct 2016,64.2
Nov 2016,93.4
Dec 2016,222.8
Jan 2017,153.2
Feb 2017,145.4
Mar 2017,150.8
Apr 2017,165
May 2017,29.2
Jun 2017,107.2
Jul 2017,74.8
Aug 2017,125
Sep 2017,122.2
Oct 2017,219.6
Nov 2017,293.2
Dec 2017,264.2
Jan 2018,224.6
Feb 2018,112.4
Mar 2018,81
Apr 2018,63.4
May 2018,35.8
Jun 2018,47.4
Jul 2018,69.4
Aug 2018,95.2
Sep 2018,234.6
Oct 2018,236.6
Nov 2018,83
Dec 2018,137.8
Jan 2019,213
Feb 2019,121
Mar 2019,248.4
Apr 2019,35.4
May 2019,104.4
Jun 2019,86.8
Jul 2019,122.6
Aug 2019,198
Sep 2019,136.8
Oct 2019,179.2
Nov 2019,54.2
Dec 2019,216.2
Jan 2020,310
Feb 2020,392.8
Mar 2020,185.6
Apr 2020,34.8
May 2020,115
Jun 2020,92.2
Jul 2020,90
Aug 2020,35.6
Sep 2020,141.2
Oct 2020,233.8
Nov 2020,161.6
Dec 2020,180.8
Jan 2021,204.2
Feb 2021,69
Mar 2021,130.2
Apr 2021,76.4
May 2021,73
Jun 2021,15.4
Jul 2021,10.6
Aug 2021,35.6
Sep 2021,88.4
Oct 2021,240.4
Nov 2021,247.4
Dec 2021,0
Jan 2022,0
Feb 2022,2
Mar 2022,0
Apr 2022,0
May 2022,0
Jun 2022,0
Jul 2022,0
Aug 2022,0
Sep 2022,2.4
Oct 2022,0.2
Nov 2022,0.2
Dec 2022,0
Jan 2023,0
Feb 2023,5.8
Mar 2023,25.6
Apr 2023,24.4
May 2023,26
Jun 2023,64.4
Jul 2023,146.4
Aug 2023,77
Sep 2023,154.6
Oct 2023,212.6
Nov 2023,132.8
Dec 2023,288.8
Jan 2024,309.8
Feb 2024,217.2
Mar 2024,244.4
Apr 2024,270.4
May 2024,47.2
Jun 2024,300
Jul 2024,176
Aug 2024,273.2
Sep 2024,185.2
Oct 2024,119.8
Nov 2024,269.8
Dec 2024,719.4
Jan 2025,218.2
Feb 2025,157.7
Mar 2025,237
Apr 2025,36.6
May 2025,96
Jun 2025,102.2
Jul 2025,107.4
Aug 2025,90
